Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Abbreviations
Parasites Trypanosoma Gambiense,,130,570,850,13610,7500,15910,52500,90000,357770,534250,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Trypanosoma Lewisi,,150,120,620,830,10530,2750,15910,96500,225410,524370,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Trypanosoma Lewisi,,60,570,850,5250,7000,20000,52500,90000,356720,425430,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Trypanosoma Rhodesiense,,70,220,680,970,2250,5750,25430,125000,226320,456500,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Trypanosoma Rhodesiense,,130,570,850,5170,37100,102790,352500,591020,652930,952590,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Turbatrix,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parasites Turbatrix,,20,230,730,2500,5250,7000,32500,95910,175410,475430,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Turbatrix,,240,700,970,2500,27500,45830,67500,97500,325360,451170,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Urocleidus,,80,400,730,900,5170,2500,12710,97500,250000,422530,,,,,,,,,,,,,,,,,,,,,,KHZ
Parasites Urocleidus,,130,230,750,850,5250,7250,45000,87500,95360,150000,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites Whipworm,,13134.37,12687.5,20213.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Parasites,,444,125,95,72,20,1865,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Parathyroid Diseases,,190,500,700,970,13390,102750,342500,467500,696500,825430,,,,,,,,,,,,,,,,,,,,,,KHZ
Paresis,Muscle,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Paresthesia,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parkinson's Disease,,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Parkinson's Disease,Nerve,470,693,813,1.1,5000,1131,33=1800,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parkinson's Disease,,80,350,650,830,9500,115710,255830,485430,692500,825000,,,,,,,,,,,,,,,,,,,,,,KHZ
Parkinson's Tremor Temporary Relief,,6000=600,130,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parkinson's V,,577,742,134,611,310,827,442,871,314,1422,733,569,531,813,744,840,658,524,4334,172,,,,,,,,,,,,CAFL
Parkinsonian Disorders,,570,780,900,5250,7000,115710,255830,485430,692500,825000,,,,,,,,,,,,,,,,,,,,,,KHZ
Paronychia,,20,320,620,970,112850,213930,325280,516070,616520,773500,,,,,,,,,,,,,,,,,,,,,,KHZ
Parrot Fever,,233,338,332,583,859,1217,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parvovirus Canine Mutant Strain,,323,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Parvovirus Canine,,185,323,562,613,622,1000,4027,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Parvovirus Canine,Dogs,637,185,323,562,613,622,1000,4027,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Passalurus Ambiguus_1,,428800-444150=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Passalurus Ambiguus_2,,437000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Pasteurella Combination,,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Pause 1 Day (Remote),,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Pause 1 Hour (Remote),,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Peace and Relaxation,,1-mrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pellagra,,190,230,950,82500,192710,227500,452020,592500,731310,815720,,,,,,,,,,,,,,,,,,,,,,KHZ
Pelvic Inflammatory Disease,Uterus,2720,2489,2170,2127,2008,1800,1600,1550,802,787,776,727,690,666,650,625,600,465,444,522,95,72,450,428,,,,,,,,CAFL
Pelvic Inflammatory Disease,,10,460,33010,72500,117590,231900,509020,645440,819340,915000,,,,,,,,,,,,,,,,,,,,,,KHZ
Pelvic Inflammatory Disease,,40,460,33010,72500,117590,231900,509020,645440,819340,915000,,,,,,,,,,,,,,,,,,,,,,XTRA
Pemniciosis,,232,622,822,4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pemphigoid Bullous,,170,180,830,2500,27500,73980,135430,367020,497500,625830,,,,,,,,,,,,,,,,,,,,,,KHZ
Pemphigus Benign Familial,,190,570,1120,7500,27500,42500,96500,325430,415700,562910,,,,,,,,,,,,,,,,,,,,,,KHZ
Pemphigus,Skin,694,893,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pemphigus,,30,120,950,2750,12710,50000,90000,325440,433630,560000,,,,,,,,,,,,,,,,,,,,,,KHZ
Pemphigus,,893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Penicillium Chrysogenum Secondary,,345,688,728,764,765,868,1070,2411,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Penicillium Chrysogenum,,344,868,1070,2411,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Penicillium Chrysogenum,,129,249,344,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Penicillium Chrysogenum,,344,2411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Penicillium Notatum,,321,555,629,825,942,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Penicillium Notatum,,321,555,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Penicillium Rubrum,,332,457,460,462,766,1015,1018,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Penicillium Rubrum,,332,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Penile Diseases,,10,520,83620,105950,179500,295540,487500,605720,723820,935420,,,,,,,,,,,,,,,,,,,,,,KHZ
Penile Diseases,,40,520,83620,105950,179500,295540,487500,605720,723820,935420,,,,,,,,,,,,,,,,,,,,,,XTRA
Penile Induration,,10,570,620,950,7500,295540,487500,605720,723820,935420,,,,,,,,,,,,,,,,,,,,,,KHZ
Penny Royal,,772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Penqueculum,,746,755,1375,6965,626,948,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Penqueculum,,746,755,6965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Peptic Ulcer,,130,490,620,9930,43390,105670,232500,342520,625350,975540,,,,,,,,,,,,,,,,,,,,,,KHZ
Pepto Streptococcus,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Pepto Streptococcus,,201,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pepto Streptococcus,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Perception Heighten,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pericardial Effusion,,190,500,570,1470,19520,122500,352500,487500,695350,833910,,,,,,,,,,,,,,,,,,,,,,KHZ
Pericarditis,Heart,2720,2170,1600,880,1550,802,787,727,625,125,95,72,20,,,,,,,,,,,,,,,,,,,CAFL
Pericarditis,,80,350,750,12930,50590,197500,482210,762200,891510,923790,,,,,,,,,,,,,,,,,,,,,,KHZ
Periodontal Disease,Oral Cavity,47.5,1800,1600,650,625,600,880,787,776,727,,,,,,,,,,,,,,,,,,,,,,CAFL
Periodontal Disease,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Periodontal Diseases,,60,320,730,870,12330,15000,85540,150000,225360,575830,,,,,,,,,,,,,,,,,,,,,,KHZ
Peripheral Nervous System Diseases,,70,240,8600,75250,117220,237020,451900,561510,698100,812770,,,,,,,,,,,,,,,,,,,,,,KHZ
Peripheral Vascular Diseases,,70,220,730,75250,117220,237020,451900,561510,698100,812770,,,,,,,,,,,,,,,,,,,,,,KHZ
Peritonitis,,727,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Perniosis,,232,622,822,4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Peroxisomal Disorders,,60,260,570,9000,12850,35540,125000,424370,760000,812910,,,,,,,,,,,,,,,,,,,,,,KHZ
Personality Disorder Borderline,,170,220,720,125880,236710,336000,421040,571670,681510,702030,,,,,,,,,,,,,,,,,,,,,,XTRA
Pertussis Secondary,,880,832,802,787,776,727,1234,7344,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pertussis,,526,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Pesticide Detox,,73,26,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Peter's Anomaly,,70,120,650,118830,202500,315320,481510,525830,622500,791520,,,,,,,,,,,,,,,,,,,,,,KHZ
Peutz-Jeghers Syndrome,,140,550,950,35710,71250,82500,142500,393500,632410,719340,,,,,,,,,,,,,,,,,,,,,,KHZ
Phantom Limb,,160,550,950,17500,93980,137500,396500,575830,824370,963190,,,,,,,,,,,,,,,,,,,,,,KHZ
Phaqocyross Stimulation,,20,125,727,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pharyngeal Diseases,,40,500,950,2750,82850,122010,237500,422530,635350,873530,,,,,,,,,,,,,,,,,,,,,,KHZ
Pharyngitis,Throat,20,146,380,440,522,727,776,784,802,880,1550,1600,,,,,,,,,,,,,,,,,,,,CAFL
Pharyngitis,,140,220,730,5250,7250,52030,157510,290200,675350,821370,,,,,,,,,,,,,,,,,,,,,,KHZ
Phenylketonurias,,70,410,730,5850,72500,135000,367500,550300,725340,920320,,,,,,,,,,,,,,,,,,,,,,KHZ
Pheochromocytoma,,60,490,730,3210,30890,115830,322500,452500,697500,875350,,,,,,,,,,,,,,,,,,,,,,KHZ
Phimosis,,80,240,570,970,2500,103000,222500,345000,497500,725350,,,,,,,,,,,,,,,,,,,,,,KHZ
Phlebitis,Veins,1500,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Phlebitis,,50,370,870,2250,33500,75850,105830,275540,475350,857770,,,,,,,,,,,,,,,,,,,,,,KHZ
Phlebotomus Fever,,30,250,2780,35930,115710,237500,495000,734250,852590,915350,,,,,,,,,,,,,,,,,,,,,,KHZ
Phobic Disorders,,20,230,650,16950,73500,120530,355540,607590,816510,979930,,,,,,,,,,,,,,,,,,,,,,KHZ
Phoma Destructiva,,163,815,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Phoma Destructlva,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Phosphorus,,861.72,928.95,19766.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Photophobia,,500,570,870,12330,42500,152500,287500,392310,810500,901040,,,,,,,,,,,,,,,,,,,,,,KHZ
Photosensitivity Disorders,,130,240,1700,34870,62250,102750,232500,425540,725350,869710,,,,,,,,,,,,,,,,,,,,,,KHZ
Pilonidal Cyst,,130,570,6750,71250,101150,347500,579500,690000,775870,816900,,,,,,,,,,,,,,,,,,,,,,XTRA
Pineal Function Normalize Stimulate,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pineal Function Stimulate Normalize,,662,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pineal Gland Balance,,20,537,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pineal Gland Fever,,20,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pineal Gland Stimulate,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pinworms,,70,520,750,3970,8500,13610,22500,265830,425340,879500,,,,,,,,,,,,,,,,,,,,,,KHZ
Pituitary Diseases,,370,970,2750,15030,71500,196500,275870,419340,612740,858570,,,,,,,,,,,,,,,,,,,,,,KHZ
Pituitary Function Normalize,,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pituitary Gland Dysfunction,,1.5,6.8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pituitary Gland Stimulate,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pituitary Gland,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pituitary HGH Production Stimulate,,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pituitary,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pityriasis,,200,320,2880,5250,132500,237500,496500,626070,875340,927000,,,,,,,,,,,,,,,,,,,,,,KHZ
Plagiocephaly Nonsynostotic,,80,240,670,5170,17250,57000,152500,362500,593210,873300,,,,,,,,,,,,,,,,,,,,,,KHZ
Plague,,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Plague,,210,216,333,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Plague,,50,260,570,2500,12850,35340,57500,96500,322060,475870,,,,,,,,,,,,,,,,,,,,,,KHZ
Planet - Jupiter,,183.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALT
Planet - Mars,,144.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALT
Planet - Mercury,,141.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALT
Planet - Moon,,210.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALT
Planet - Neptune,,211.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALT
Planet - Pluto,,140.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALT
Planet - Saturn,,147.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALT
Planet - SUN,,126.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALT
Planet - Uranus,,207.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALT
Planet - Venus,,221.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALT
Planetary Orbits,,141.27,144.72,183.58,221.23,272.2,280.5,295.7,414.7,422.8,,,,,,,,,,,,,,,,,,,,,,,CAFL
Plant Poisoning,,130,520,1730,7250,15710,35340,272510,512910,775830,815380,,,,,,,,,,,,,,,,,,,,,,KHZ
Plantaris,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Plasmacytoma,Respiratory,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Plasmocytoma,,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Plasmodium Cynomolgi,,417300-424500=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Plasmodium Falciparum Smear,,372300-373800=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Plasmodium Vivax Smear,,438150-445100=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Platelet Storage Pool Deficiency,,110,490,780,12500,63000,102500,402500,651200,821520,924370,,,,,,,,,,,,,,,,,,,,,,KHZ
Platinum pt,,457.64,493.36,20955.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Platinum,,14825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Pleural Diseases,,130,350,5850,17500,87500,137500,457500,695870,850000,919340,,,,,,,,,,,,,,,,,,,,,,KHZ
Pleural Effusion,,787,474,612,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Pleural Effusion,,170,310,820,7500,117520,237580,357530,495340,533910,661200,,,,,,,,,,,,,,,,,,,,,,KHZ
Pleurisy,Lung,1550,802,880,787,776,727,125,95,72,20,444,1865,450,,,,,,,,,,,,,,,,,,,CAFL
Pleurisy,,80,410,1470,5250,47530,121210,357500,497500,612500,821020,,,,,,,,,,,,,,,,,,,,,,KHZ
Pneumococcal Infections,,50,350,2750,30930,75810,187500,405320,715000,803510,905320,,,,,,,,,,,,,,,,,,,,,,KHZ
Pneumococcus Mixed Flora,,158,174,645,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Pneumococcus Mixed Flora,,158,645,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Pneumococcus,,231,232,683,846,8865,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pneumococcus,,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Pneumocystis Carnil (Lung),,405750-409150=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Pneumocystis,,204,340,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Pneumocystis,,340,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Pneumonia Bronchial,Lung,550,802,880,787,776,727,452,1474,578,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pneumonia General,Lung,5000,2688,1862,1550,1238,975,880,802,787,780,778,776,774,772,770,768,766,727,688,683,660,450,412,20,,,,,,,,CAFL
Pneumonia General V,Lung,6007,5423,5421,5420,5419,2688,2581,2356,967,877,838,765,748,746,568,542,532,522,520,440,,,,,,,,,,,,CAFL
Pneumonia Klebsiella Pneumoniae,,412,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Pneumonia Klebsiella,Lung,412,413,746,765,766,776,779,783,818,840,,,,,,,,,,,,,,,,,,,,,,CAFL
Pneumonia Mycoplasma,,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Pneumonia Walking,Lung,660,688,777,975,2688,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Pneumonia,Lung,20,412,450,660,683,688,727,766,776,787,802,880,975,1238,1550,1862,2688,,,,,,,,,,,,,,,CAFL
Pneumonia,,50,350,750,930,5710,7500,345830,465340,593500,725000,,,,,,,,,,,,,,,,,,,,,,KHZ
Pneumonia,,1200000,381901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rife
Pneumothorax,,240,700,7500,12330,5500,42500,172500,493020,622530,819340,,,,,,,,,,,,,,,,,,,,,,KHZ
Pneumovirus,Respiratory,278,336,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
POEMS Syndrome,,40,220,620,13520,5500,40000,175830,432410,565360,709830,,,,,,,,,,,,,,,,,,,,,,KHZ
Poikiloderma of Civatte,,110,490,780,12500,43000,122500,272500,545340,612500,829340,,,,,,,,,,,,,,,,,,,,,,KHZ
Poland Syndrome,,190,260,600,11090,37500,250000,425340,571000,868000,938000,,,,,,,,,,,,,,,,,,,,,,KHZ
Polio Secondary Complications,,1550,802,428,1500,880,787,727,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Polio,,742,1500,2632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Polio,,135,283,742,776,1500,2632,1850,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Polio,,742,1580,2632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Poliomyelitis,,20,120,750,37930,105170,213710,465000,597500,724370,825340,,,,,,,,,,,,,,,,,,,,,,KHZ
Polyarteritis Nodosa,,80,320,730,3870,19120,159320,285000,654030,724340,933910,,,,,,,,,,,,,,,,,,,,,,KHZ
Polyarthritis,Joints,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Polychondritis Relapsing,,40,120,950,19300,121440,201330,485830,653020,807500,973340,,,,,,,,,,,,,,,,,,,,,,KHZ
Polycystic Kidney Diseases,,160,550,950,7500,12710,37500,125000,175340,434250,567700,,,,,,,,,,,,,,,,,,,,,,KHZ
Polycystic Ovary Syndrome,,40,500,970,2750,12850,20000,37500,122530,325870,840020,,,,,,,,,,,,,,,,,,,,,,KHZ
Polycythemia Vera,,140,220,730,13020,55370,121200,271010,694000,715700,824370,,,,,,,,,,,,,,,,,,,,,,KHZ
Polyendocrinopathies Autoimmune,,50,260,570,2500,13390,85340,157500,525830,757770,975340,,,,,,,,,,,,,,,,,,,,,,KHZ
Polyhydramnios,,180,550,1000,5250,27500,42500,72500,195870,420020,719340,,,,,,,,,,,,,,,,,,,,,,KHZ
Polymyalgia Rheumatica,,170,550,950,5710,13930,137500,262500,497500,626070,822530,,,,,,,,,,,,,,,,,,,,,,KHZ
Polymyositis,,70,930,2950,17500,78890,182390,332500,537500,732010,896520,,,,,,,,,,,,,,,,,,,,,,KHZ
Polyneuropathies,,130,830,3730,17850,105340,217250,445000,587500,795340,953000,,,,,,,,,,,,,,,,,,,,,,KHZ
Polyomavirus Infections,,130,500,6750,71250,105150,347500,572500,690000,775870,826900,,,,,,,,,,,,,,,,,,,,,,KHZ
Polyomavirus Infections,,130,520,6750,71250,105150,347500,572500,690000,775870,826900,,,,,,,,,,,,,,,,,,,,,,XTRA
Polyp General,,522,146,2720,2489,2170,2127,2008,1800,1600,727,690,666,650,625,600,465,444,20,,,,,,,,,,,,,,CAFL
Polyp Nasal,Nose,542,1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Polyp Uterine,,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Polyradiculopathy,,110,490,780,12500,43000,122500,262500,555340,692500,819340,,,,,,,,,,,,,,,,,,,,,,KHZ
Popliteal Cyst,,170,350,8850,57500,117500,237520,357500,691020,810500,915700,,,,,,,,,,,,,,,,,,,,,,KHZ
Porphyria Erythropoietic,,80,410,2830,15250,67250,221010,471020,597520,722300,822570,,,,,,,,,,,,,,,,,,,,,,KHZ
Porphyria,,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Porphyrias,,150,250,3970,27500,110530,215870,467500,715340,802410,952200,,,,,,,,,,,,,,,,,,,,,,KHZ
Post Surgery Detox Anaesthesia,,146,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Postcommissurotomy Syndrome,,30,330,1220,11090,62080,201510,372480,417520,625300,731210,,,,,,,,,,,,,,,,,,,,,,XTRA
Potassium k,,99.34,107.09,18230.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Power,,140.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Prions,,0.07,0.12,0.75,0.93,15.09,24.4,417.5,505,791.5,995.15,,,,,,,,,,,,,,,,,,,,,,ODD
Problem-solving 1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Problem-solving 2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Proctitis,Anus,430,620,624,840,866,2213,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Proctocolitis,,490,27000,17000,38000,87000,96200,150000,434000,592000,850000,,,,,,,,,,,,,,,,,,,,,,XTRA
Progeria,,40,120,950,12850,32500,50000,235310,603500,747500,823300,,,,,,,,,,,,,,,,,,,,,,KHZ
Progesterone Normalize Level,,763,1446,1443,763,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Prognathism,,80,240,920,1800,2250,127500,255310,693200,893500,926070,,,,,,,,,,,,,,,,,,,,,,KHZ
Program Finale 4,,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Propionibacterium Acnes 1,,11992.19,12156.25,12093.75,951.22,964.23,959.27,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Propionibacterium Acnes 2,,5996.1=1200,6046.89=360,19267.59,959.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Propionibacterium Acnes 3,,5996.1-6078.1=1200,6046.89=360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Propionibacterium Acnes 4,,19267.59,959.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Propionibacterium Acnes,,383750-389000=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Prosopagnosia,,240,730,870,7500,30000,67500,95900,92500,524370,650000,,,,,,,,,,,,,,,,,,,,,,KHZ
Prostate Adenominum,,442,688,1875,748,766,920,,,,,,,,,,,,,,,,,,,,,,,,,,PROV
Prostate Complaints,,9.39,20,72=360,73,95,125,465,666,690,727=360,880,2008,2127,,,,,,,,,,,,,,,,,,,CAFL
Prostate Enlarged,,2250,2128,2050,920,690,666,,,,,,,,,,,,,,,,,,,,,,,,,,PROV
Prostate Enlarged,,830,1870,5630,152300,328920,424210,482130,502930,553700,591420,,,,,,,,,,,,,,,,,,,,,,XTRA
Prostate Gland,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Prostate Hyperplasia,,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROV
Prostate Problems General,,2720,2128,2008,880,802,787,728,727,690,666,465,408,125,95,72,20,9,,,,,,,,,,,,,,,PROV
Prostate Problems,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Prostate Tumor,,666,690,727,2008,2127,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Prostate,,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Prostatic Diseases,,130,570,830,2250,5710,32500,97500,332410,372000,520000,,,,,,,,,,,,,,,,,,,,,,KHZ
Prostatitis 1,,2050,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Prostatitis,,100,410,522,146,2720,2050,2489,2170,2127,2008,1550,802,787,776,727,690,666,465,125,95,72,20,444,522,9.1,,,,,,,CAFL
Prosthesis Implantation,,100,520,870,3200,15890,32750,132000,437500,525830,725310,,,,,,,,,,,,,,,,,,,,,,KHZ
Prosthodontics,,170,720,1650,16850,55250,127500,455870,565000,752000,975310,,,,,,,,,,,,,,,,,,,,,,KHZ
Prostnogonimus Macrorchis Egg,,396850-404750=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Proteinuria,,50,410,870,57500,78000,132300,351500,652310,825870,915830,,,,,,,,,,,,,,,,,,,,,,KHZ
Proteus Mirabilis 1,,20034.38,20375,20250,794.55,808.07,803.12,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Proteus Mirabilis 2,,16131.01,803.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Proteus Mirabilis,,320550-326000=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Proteus Syndrome,,60,250,870,12300,55710,85000,187500,442500,696500,875310,,,,,,,,,,,,,,,,,,,,,,KHZ
Proteus Vulgaris,,408750-416450=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Proteus,,424,434,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Protomyxzoa Rheumatica,,1583,515,515-521=1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Protozoa,,432,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Protozoa,,432,753,5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Protozoa,,432,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Protozoan Infections,,20,230,850,5710,55830,172500,317500,663500,725310,853020,,,,,,,,,,,,,,,,,,,,,,KHZ
Prune Belly Syndrome,,80,520,30650,24500,117300,335000,536420,611000,804280,941020,,,,,,,,,,,,,,,,,,,,,,KHZ
