Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Frequency 32,Frequency 33,Frequency 34,Frequency 35,Frequency 36,Frequency 37,Frequency 38,Frequency 39,Frequency 40,Frequency 41,Abbreviations
Gastritis,,150,230,730,850,5260,127250,335910,487500,692470,752010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gastroenteritis Calicivirus,,30,475,575,2750,5250,6250,9750=360,1500,362.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Gastroenteritis,,100,500,680,950,5750,17500,237500,517500,696500,816500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gastroesophageal Reflux,,230,620,970,7500,5500,13930,45370,95470,376290,422530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gastrointestinal Disease,,20,520,700,900,2500,5250,15470,142500,292500,821060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gastrointestinal Hemorrhage,,50,520,710,930,2560,33180,215470,402530,592500,7325370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gastrointestinal Stromal Tumors,,70,520,700,950,2500,3000,125910,347500,492500,675470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gastroparesis,,170,520,750,950,2250,17500,135370,385910,591000,722530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gastroschisis,,160,490,730,950,12690,5260,12710,92500,269710,475470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gastrothylax Elongatus,,451900-457100=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Gastrothylax Elongatus,,1120.15,1127.82,1133.03,14218.75,14284.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gaucher Disease,,50,240,700,950,2500,7500,32500,125370,319340,519340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
General Antiseptic 1,,428,444,450,465,660,727,760,787,802,880,1550,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
General Antiseptic,,10000,5000,2145,1550,1488,880,802,786,776,766,760,728,688,683,676,666,660,464,450,444,428,120,20,,,,,,,,,,,,,,,,,,,CAFL
General Antiseptic 3,,14,333,428,450,465,523,555,590,660,690,728,760,768,786,787,802,804,880,1360,1550,1770,1865,2000,2720,3176,5000,10000,,,,,,,,,,,,,,,XTRA
General Antiseptic and Circulation Stimulation,,1.19,20,786,832,1050,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
General Balancing,,1130,1131,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
General Cleanser,,337,464,467,576,688,728,786,803,856,882,912,1554,1862,2128,3337,5762,6667,,,,,,,,,,,,,,,,,,,,,,,,,CUST
General Comprehensive,,10000,5000,4412,3176,3040,2145,2128,2112,2008,1998,1862,1550,1500,1488,880,832,802,786,776,766,760,740,732,728,712,688,683,676,666,660,644,464,450,444,428,422,128,120,95,66.5,20,CAFL
General Demo,,10000,4412,3040,2128,2112,1862,1550,880,800,786,732,728,712,688,676,644,464,422,128,120,20,,,,,,,,,,,,,,,,,,,,,CAFL
General Health 1,,263.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
General Health 2,,59.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
General Malady,,40000,10000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
General Program Blaster 5,,80,400,500,600,622,666,690,727,740,776,784,787,800,880,1500,1550,1560,1570,1600,1800,1840,1998,2000,2008,2128,2489,,,,,,,,,,,,,,,,CAFL
General Program Emem,,720,1550,20,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
General Prophylaxis,,20,64,95,125,225,427,440,664,728,784,880,802,832,680,760,1550,464,10000,676,1488,,,,,,,,,,,,,,,,,,,,,,CAFL
Geniculate Herpes Zoster,,120,450,900,5910,137500,372500,416600,420200,418000,824370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Genital Diseases Female,,80,350,600,870,2250,5000,55470,172500,397500,796500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Genital Diseases Male,,80,350,600,870,2250,5000,55470,329880,401220,721500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Geotrichum Candidum 2,,412,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Geotrichum Candidum,,350,355,384,386,403,404,407,409,410,412,415,418,543,544,687,987,988,737,700,,,,,,,,,,,,,,,,,,,,,,,CAFL
Geotrichum Candidum,,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Geriatric Adynamia,,27.5,60,100,220,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
German Measles 1,,20=1380,342,344,368,420=1380,431,459,510,517,520,660,690,727.5,735,772,784,796,880,943,967,1489,,,,,,,,,,,,,,,,,,,,,XTRA
German Measles 2,,727,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
German Measles Rubella 1,,368,431,459,510,517,734,772,796,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
German Measles Rubella Vaccine,,429,459,505,832,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
German Measles Rubella,Skin,368,510,517,734,772,796,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
German Measles Secondary,Skin,727,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
German Measles,,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Germanium,,74.25,80.04,136.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gerstmann-Straussler-Scheinker Disease,,60,260,680,7500,10530,45370,96500,536420,655200,751870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Giant Cell Arteritis,,130,230,750,800,5250,7250,35000,95470,226320,422530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Giant Lymph Node Hyperplasia,,40,500,700,970,5750,7500,37500,96500,225910,425370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Giardia Intestinalis,,200=900,334,407,829,1000,2018,4334,5429,13168.75=1200,13250,13454.09,13763.75,14459.37,21109.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Giardia Lamblia Trophozoites,,421400-426300=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Giardia Lamblia,,1044.54,1050.99,1056.69,13168.75,13250,13321.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Giardia Parasites Lamblia,,1050.99,21109.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Giardia Parasites,,334,407,721,812,829,1442,2018,2163,4334,5429,5768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Giardia,Intestines,334,407,812,829,2018,4334,5429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Giardiasis,,50,350,600,870,2250,5290,55470,97500,324370,425520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Giddiness Dizziness,,20,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Giddiness,,20,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gilbert Disease,,70,320,620,850,5000,22500,60000,352930,422530,563190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gingivitis 1,,20,146,444,465,522,660,690,726,727.5,776,787,802,880,1550,1556,1600,1800,1865,2008,2489,2720,,,,,,,,,,,,,,,,,,,,,XTRA
Gingivitis,Gums,1550,880,802,787,728,726,465,20,1556,776,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Gingivitis,,70,120,600,870,2250,22500,187500,396500,587500,696500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Glanders 2,,501,687,737,743,774,857,875,986,1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Glanders 3,,20,501,660,687,690,727.5,743,774,787,857,875,880,1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Glanders 4,,407,11509.22,15406.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Glanders Pseudomonas Mallei,,20,727,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Glanders,,501,687,743,774,857,875,1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Glanders,,986000,736591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rife
Glands Enlarged,,20,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Glands General Normalize,,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Glands,,15136.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Glandular Fever 2,,20,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Glandular Fever Adrenals,,20,10000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Glandular Fever Parathyroid,,20,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Glandular Fever Thyroid,,10000,20,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Glandular Fever Thyroid,,20,10000,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Glandular Fever,Viral,10000,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Glaucoma 1,,660,690,727.5,787,880,1600,1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Glaucoma 2,,3022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Glaucoma 3,Eyes,727,787,880,1600,1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Glaucoma,,160,550,950,5290,7250,32500,137500,326070,490000,515700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Glioblastoma,,70,410,730,850,7500,20000,57500,150000,225370,342060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gliocladium 1,,469,633,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gliocladium 2,,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Glioma,,50,490,9730,88000,105750,237250,413930,651200,732590,973520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Glioma,,543,641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Glossitis Benign Migratory,,30,120,600,930,2250,217500,387500,475000,575520,726900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Glossopharyngeal Nerve Diseases,,70,570,950,2250,125250,320000,437500,593500,615700,824370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Glucosephosphate Dehydrogenase Deficiency,,100,240,650,830,2500,27500,55370,87500,125520,322060,519340,652430,751870,926160,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Glutaric Acidemia,,120,550,950,5290,95520,142500,362500,402500,590000,822530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Glycogen Storage Disease,,30,370,950,2500,7500,72500,96500,375370,269710,377910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Goiter 1,Neck,105,121,122,321,361,517,531,532,576,651,714,756,5311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Goiter 2,,20,727,787,880,5000,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Goiter 3,,20,160,660,690,727.5,787,880,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Goiter Struma Cystica,,361,531,756,5311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Goiter Struma Nodosa,,105,122,321,517,532,651,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Goiter Struma Parenchyma,,121,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gold au,,36.43,39.28,13375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gold,,14750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Goldenhar Syndrome,,10,250,570,870,2250,2500,96500,226320,515700,682020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Goldenhar Syndrome,,40,250,570,870,2250,2500,96500,226320,515700,682020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gonadal Disorders,,370,950,2500,7500,67500,96500,375520,475910,525910,801290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gonads Inflammation 1,Testicle,9,20,72,95,125,600,625,650,666,690,727,776,787,802,832,880,1500,1550,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Gonads Inflammation 2,,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gonads,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gonococcus,,600,625,650,660,690,712,727.5,827.52,829.89,834.1,927.89,14562.5,16628.88,20865.63,20875,21031.25,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gonorrhea 1,,600,625,650,660,690,712,727.5,927.89,14563.5,16628.88,20865.63=1200,20875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gonorrhea 2,,150,233,600,660,712,1500,2330,6000,7120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gonorrhea 3,,600,660,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gonorrhea 4,,150,233,600,660,712,1500,2330,6000,7120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gonorrhea 5,,600,660,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gonorrhea 6,,712,1990,14562.5,18750,18831.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gonorrhea Neisseria,,927,89,16628.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gonorrhea,Viral,660,600,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Gonorrhea,,200,250,570,13610,23250,221750,396500,643740,725370,971000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gonorrhea,,233000,600000,150649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rife
Gonorrhea,,200,250,570,13610,23250,221750,333850,336500,334000,971000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gordona Sputi,,381.19,400.6,429.1,435.39,762.29,801.2,858.2,870.7,1524.7,1602.29,1716.4,3049,3204.59,3432.8,3483,17410.5,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gout 1,,9.39,20,727,787,880,3000,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gout 2,,9.39,9.4,20,465,660,690,727.5,784=600,787,880,1560=600,3000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gout 3,,9.39,20,727,787,880,3000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gout,Joints,9.39,3000,10000,880,787,727,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Gout,,70,240,30650,78520,197250,267000,512350,602210,733630,925000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Graft vs Host Disease,,70,500,970,9000,12850,32500,42500,190000,325370,425520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gram-Negative Bacterial Infections,,150,9230,42750,183850,275290,307250,435370,587500,795520,901030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Granuloma Annulare,,500,700,970,7500,88000,370500,547500,656500,725370,825520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Granuloma Dent,Teeth,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Granuloma Inguinale,,30,500,700,970,88000,370500,547500,656500,725370,825520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Granuloma,,100,500,700,970,5750,39500,132810,387210,506530,925370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Granulomatosis Wegener's,,90,330,5490,37000,203830,381410,481930,614820,763000,797230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gravel Deposits,,2.64,20,727,787,880,3000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gravel In Urine 1,Kidney,2.65,20,727,787,880,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Gravel In Urine 2,,2.64,20,727,787,880,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Graves Disease and Goiter,,20,727,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Graves Disease,,80,350,55610,119870,232250,308290,455520,585370,697500,825910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Greatest Hits,,20,120,128,422,464,644,676,688,712,728,732,786,800,880,1550,1862,2112,2128,3040,4412,10000,,,,,,,,,,,,,,,,,,,,,XTRA
Green Dye,,563,2333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Grippe 1986,,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Grippe 1987,,332,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Grippe Va 2 L,,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Grippe Va 2,,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Grippe Virus 3,,550,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Grippe Virus 4,,232,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Grippe Virus 5,,945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Grippe Virus,,861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Grippe,,343,500,512,541,862,1000,1192,3012,3423,10223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Grippe,,343,512,862,3012,3423,10223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Grippe,,80,250,570,7500,10530,12500,40000,313350,320000,615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Griseofulvin,,288000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Griseofulvin,,713.87,14338.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Grounding,,194.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Growth Hormone,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Growth,,183.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Guillain-Barre Syndrome,,40,320,620,5970,35250,112730,296000,392970,701660,933500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Guillain-Barre Syndrome,,20.87,30,41.75,82.59,165,330,727,740,787,880,1234,1550,2600,2650,2900,2950,4412,5000,7344,10000,,,,,,,,,,,,,,,,,,,,,,XTRA
Guilt and Fear Release,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Guilt and Shame,,126.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gulf War Syndrome 1,,136,253,255,392,435,533,578,633,639,714,771,837,866,975,1365,1370,2688,5419,6007,7755,,,,,,,,,,,,,,,,,,,,,,XTRA
Gum Disease 2,,20,465,726,728,776,787,802,880,1550,1556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gum Disease,Gums,20,146,444,465,522,726,727,728,776,787,802,880,1550,1556,1600,1800,2008,2489,2720,,,,,,,,,,,,,,,,,,,,,,,CAFL
Gum Infection,,20,146,444,465,522,660,690,726,727.5,776,787,802,880,1550,1556,1600,1800,1865,2008,2489,2720,,,,,,,,,,,,,,,,,,,,,XTRA
Gum Inflammation 1,,20,465,727,787,800,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gum Inflammation 2,,20,465,727,787,802,880,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gynecomastia,,190,230,950,2250,112500,227500,252200,322500,421000,826320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gyrate Atrophy,,50,660,1320,7500,17500,15910,151200,231200,341000,525290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gyrodactylus,,378750-381800=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Gyrodactylus,,938.83,941.92,946.38,11835.94,11875,11931.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
H1N1- Swine Flu,,20,450,650,2210,6150,10230,15910,30280,77500,327110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
H5N1- Bird Flu,,20,450,650,2740,8320,11690,25120,77010,351290,501710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Haemonchus Contortus,,386800-395000=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Haemonchus Contortus,,958.77,974.14,979.11,12087.5,12281.25,12343.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Haemophilia Tonic,,751,778,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Haemophilia,,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Haemophilus Influenzae 1,,832.86,833.87,21000,21025.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Haemophilus Influenzae 2,,832.86,16728.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Haemophilus Influenzae 3,,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Haemophilus Influenzae B,,652,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Haemophilus Influenzae,,336410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Haemophilus Influenzae,,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Haemophilus Influenzae,,50,370,830,2500,3000,73300,95750,175000,269710,336410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hair Diseases,,170,180,870,2500,27500,82500,85520,165000,692500,825520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hair Human,,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Hair Losing,,20,800,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hair Loss 1,,3,20,28,95,146,330,465,660,690,727.5,787,800,880,1552,2170,2720,4200,5000,10000,15000,,,,,,,,,,,,,,,,,,,,,,XTRA
Hair Loss 2,,727,800,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hair Regain Color/Grow,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hairy Cell,,122,622,932,5122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Halitosis 1,,1550,802,880,787,727,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Halitosis 2,,20,660,690,727.5,787,802,880,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Halitosis,,30,120,950,2500,22500,50000,126160,325290,519340,682450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Halitosis,,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hallucinations 1,,10000,880,787,727,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Hallucinations 2,,20,660,690,727.5,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hallucinations,,100,570,1000,7500,27500,37500,96500,342060,515700,691270,756530,990500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hallux Valgus,,70,240,650,5750,72250,123000,502500,622880,713230,807730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hamartoma Syndrome Multiple,,60,260,680,9000,10890,45910,125290,526160,652430,750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hamartoma,,70,220,730,2500,5520,50000,93500,423010,568430,642910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hand Foot and Mouth Syndrome,,232,237,1214,1243,1244,1271,5411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Hand Tremors,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hangover,,10000,522,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Hangover,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hansen's Disease (Leprosy),,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hansen's Disease,,20,428,440,444,450,465,500,600,625,650,660,690,700,727.5,760,776,787,802,832,880,1500,1550,1600,1865,,,,,,,,,,,,,,,,,,XTRA
Hansen's Disease,,170,240,790,3500,5820,48000,97500,123010,468430,592260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
