Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Frequency 32,Frequency 33,Frequency 34,Frequency 35,Frequency 36,Frequency 37,Frequency 38,Frequency 39,Frequency 40,Frequency 41,Frequency 42,Frequency 43,Frequency 44,Frequency 45,Frequency 46,Frequency 47,Frequency 48,Frequency 49,Abbreviations,
Endophthalmitis,,70,460,600,950,10530,32500,387500,595540,732410,925350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Endorphin Release,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Endoscopy,,70,460,3210,5170,17500,127500,351210,611000,706500,921200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Energy Blocks Stimulate Clearing,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Energy Vitality 1,,15,528,1056=300,2003=300,9999=300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Energy Vitality 2,,5000,9999,10000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Energy Vitality 3,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Energy Vitality,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Energy,,144.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Enlarged Glands,,20,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Entamoeba Coli Trophozoites 1,,981.59,984.05,992.37,12375,12406.25,12510.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Entamoeba Coli Trophozoites 2,,981.59,19715.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Entamoeba Coli Trophozoites,,397000-400350=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Entamoeba Gingivalis Trophozoite,,433800-441000=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Entamoeba Gingivalis Trophozoites,,1075.27,1085.69,1093.13,13556.25,13687.5,13781.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Entamoeba Histolytica 2,,333,465,523,660,690,727.5,768,786,787,802,832,880,1550,1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Entamoeba Histolytica 3,,148,166,303,333,393,465,523,631,660,690,727.5,768,778,786,787,802,832,880,954.32,1550,1552,19168.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Entamoeba Histolytica 4,,148,166,308,393,631,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Entamoeba Histolytica Secondary,,333,465,523,660,690,727,768,786,787,802,832,880,1550,1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Entamoeba Histolytica Trophozoite,,381100-367800=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Entamoeba Histolytica Trophozoite,,911.69,944.64,954.32,11493.75,11909.37,12031.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Entamoeba Histolytica,Liver,148,166,308,393,631,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Entamoeba Histolytica,,148,166,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA,
Enteric Cytopathic Human Orphan Virus,,461,514,600,620,625,650,722,765,788,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Entero Hepatitis,,552,932,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA,
Enterobacter Aerogenes 1,,927.04,11687.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Enterobacter Aerogenes 2,,927.04,18620.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Enterobacter Aerogenes,,374000-374000=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Enterobiasis,Anus,20,222,773,826,827,835,4152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Enterobiasis,,773,827,835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA,
Enterobius Vermicularis 1,,422,423,732,733,827,835,4412,13154.69=1800,13218.75,21059.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Enterobius Vermicularis 2,,1043.43,1048.5,1054.21,13154.69,13218.75,13290.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Enterobius Vermicularis,,420950-425300=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Enterococcinum,,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO,
Enterococcinum,,686,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Enterohepatitis,,552,932,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO,
Enterovirus,,20,136,144,232,283,322,380,423,435,461,487,515,595,608,610,612,620,625,654,676,721,733,742,766,776,788,822,845,868,922,1044,1189,1422,1488,1500,1850,2632,3636,5000,,,,,,,,,,,CAFL,
Enterovirus Infection Non Polio,,461,514,600,620,625,650,722,765,788,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Entropion,,150,180,870,5710,27500,223540,245540,262020,692330,892500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Enuresis 2,,465,660,690,727.5,787,802,880,1550,2050,2128,2250,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Enuresis,,10000,880,787,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Environmental Balancing,,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Eosinophilia,,20,120,950,12330,82500,152000,362020,604000,713340,823580,957310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Eosinophilia,,20,120,950,12330,82500,152000,362020,604000,713340,823580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Ependymoma,,70,180,6750,40870,172690,201250,421500,597500,835350,923070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Eperythrozoonosis,,190,400,950,322850,323900,323500,342750,346000,349300,923010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Epicoccum,Allergies,734,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Epicoccum,,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA,
Epicondylalgia,,1.2,26,160,250,2720,3000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Epicondylitis,,1.2,250,728,766,776,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Epidermal Cyst,,120,250,8620,17250,82500,115870,325000,491510,673350,874540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Epidermolysis Bullosa,,130,230,620,48910,137500,295500,413930,653020,876290,924370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Epidermophyton Floccinum 2,,20,345,465,634,644,660,690,727.5,766,784,802,880,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Epidermophyton Floccinum,,644,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO,
Epidermophyton Floccinum,Skin,465,784,644,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Epidermophyton Floccinum,,644,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA,
Epididymitis 2,,20,660,690,727.5,787,880,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Epididymitis,Testicle,2250,1500,880,787,727,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Epididymitis,,20,120,950,13610,52500,150000,463040,633250,723530,855350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Epiglottitis,,70,460,600,950,11090,32500,127500,395830,619340,725540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Epilepsy 2,,20,21,125,210,600,625,633,650,660,690,700,727.5,787,802,880,1550,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Epilepsy Fits,,20,120,727,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Epilepsy,Brain,10000,880,802,787,727,700,650,600,210,633,125,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Epilepsy,,70,180,730,870,5710,7250,22500,97500,375350,500000,655200,751870,932410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Episiotomy,,120,250,51620,72250,105170,237320,421510,602500,725000,822350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Epistaxis,,130,230,620,6950,27500,85540,122710,453020,743540,836420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Epithelioma Basal Cell,,80,120,850,5160,20000,40000,85000,97500,355720,434500,515000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Epstein Barr Virus 1,,1.1,4.9,6.29,20,27.5,35,72,73,105,120,148,172,220,253,274,410,424,428,465,660,663,664,667,669,690,727.5,738,744,776,778,787,825,880,1013,1032,1920,2127.5,6618,8768,11640.62,11718.75=1200,11875,18670.15,18919.09,,,,,,XTRA,
Epstein Barr Virus 1,,428,465,660,727,776,778,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Epstein Barr Virus 2,,95,125,330,444,788,802,1550,1800,1865,2720,10000,11640.62=1800,11718.75=1200,11875,18670.15,18919.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Epstein Barr Virus 2,,105,172,253,274,380,660,663,667,669,738,825,1013,1920,6618,8768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Epstein Barr Virus 3,,105,172,253,660,663,669,744,825,1032,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Epstein Barr Virus 4,,12695.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Epstein Barr Virus 5,,105,172,253,274,660,663,667,669,738,825,1013,1920,6618,8768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Epstein Barr Virus 6,,428,465,660,727,776,778,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Epstein Barr Virus 8,,95,125,330,444,788,802,1550,1800,1865,2720,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Epstein Barr Virus 9,,923.34,941.92,947.75,11640.62,11875,11948.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Epstein Barr Virus A,,923.34,929.52,947.75,11718.75,11948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Epstein Barr Virus B,,929.52,941.92,18670.15,18919.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Epstein Barr Virus Infections,,70,520,700,930,2500,15830,126010,325350,519340,791280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Epstein Barr Virus Lyme,,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Epstein Barr Virus Secondary,,744,776,778,465,880,787,727,1032,1920,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Epstein Barr Virus_1,,372500-382350=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Epstein Barr Virus_2,,375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Epstein Barr Virus,,105,172,253,660,663,669,744,825,1032,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO,
Epstein Barr,,428,465,660,727,776,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Erdheim-Chester Disease,,40,1520,14750,71870,152250,217500,335000,492500,675540,775350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Erectile Dysfunction,,80,240,650,900,2500,27500,55360,115700,326070,534250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Ergot Poisoning,,70,520,680,900,2750,5000,15360,40,325540,533630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Ergot,,295000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Ergot,,660,690,727.5,731.23,14687.19,18437.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Ergot,,660,690,727.5,18437.5,731.23,14687.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Ergotism,,70,520,680,900,2750,5000,15360,10,325540,533630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Eruptions Mouth,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Erwinia Amylovora 1,,867.55,17425.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Erwinia Amylovora 2,,860.62,867.55,872.76,11003.12,21700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Erwinia Amylovora,,347200-352100=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Erwinia Carotovora 1,,924.57,18570.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Erwinia Carotovora 2,,900.02,924.57,934.49,11346.87,11656.25,11781.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Erysipelas 1,,20,465,616,660,690,727.5,735,776,787,845,880,2000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Erysipelas 2,,20,465,660,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Erysipelas 3,,20,465,600,660,727,787,880,2000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Erysipelas,Skin,616,776,735,845,660,10000,880,787,727,465,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Erysipelas,,40,520,730,870,2250,17500,35830,192500,675360,826900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Erysipelas,,845,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA,
Erysipelas,,616,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Erythema 1,,9.39,809,1618,3236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Erythema 2,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Erythema Infectiosum,,70,240,650,900,2500,27500,155360,215700,375540,522530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Erythema Infectiosum,,809,1618,3236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Erythema Nosodum,Skin,9.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Erythema,Face,9.39,809,1618,3236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Erythema,,70,240,650,900,2500,27500,55540,124370,475360,778500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Escherichia Coli (E Coli),,356000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC,
Escherichia Coli 1,,971.66,974.14,12250,12281.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Escherichia Coli 2,,882.44,11125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Escherichia Coli 3,,282,289,327,330,333,413,548,556,634,642,776,799,800,802,804,832,840,856,934,957,1000,1244,1320,1550,1552,1722,1730,7847,7849,,,,,,,,,,,,,,,,,,,,,XTRA,
Escherichia Coli 5,,330,358,539,556,634,642,776,800,840,856,934,1000,1244,1712,1730,7847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Escherichia Coli 6,,882.44,974.14,17724.2,19566.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Escherichia Coli Comp,,282,289,327,330,333,358,413,539,548,556,632,634,642,776,799,800,802,804,832,840,856,934,957,1000,1242,1244,1320,1550,1552,1703,1712,1722,1730,7847,7849,,,,,,,,,,,,,,,XTRA,
Escherichia Coli Infections,,160,410,730,830,7500,27500,157500,425000,610500,826070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Escherichia Coli Infections,,160,410,730,830,7500,356000,393000,425000,610500,826070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Escherichia Coli Mutant Strain,,556,632,634,776,934,1242,1244,1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Escherichia Coli,,282,333,413,957,1320,1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO,
Escherichia Coli,Intestines,282,289,327,333,413,548,642,799,802,804,832,957,1320,1550,1722,7849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL,
Esophageal Achalasia,,220,650,830,7500,120000,357500,425360,651000,754370,819680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Esophageal Atresia,,220,750,850,10890,32500,62030,225540,410500,719340,865360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Esophageal Diseases,,220,650,830,7500,30000,57500,225540,410500,719340,865360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Esophagitis Constriction,,660,690,727.5,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Esophagitis,,110,570,1090,7500,30000,37500,225540,410500,719340,865360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Esophagitis,,727,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA,
Esotropia,,120,550,950,5250,25510,42500,162520,492570,675510,828530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ,
Essential Oil - Abundance,,19500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Acceptance,,12750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Angelica,,21250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Aroma Life,,21000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Aroma Siez,,16000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Awaken,,22250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Basil,,13000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Blue Tansy,,13125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Brain Power,,19500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Chamomile, German,,13125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Christmas Spirit,,13000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Citrus Fresh,,22500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Clarity,,12625000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Di-Gise,,12750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Dragon Time,,18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Dream Catcher,,24500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - En-R-Gee,,13250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - EndoFlex,,17250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Envision,,22500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Exodus II,,22500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Forgiveness,,24000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Frankincense,,18375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Galbanum,,14000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Gathering,,24750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Gentle Baby,,19000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Grounding,,17500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Harmony,,12625000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Helichrysum,,22625000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Hope,,24500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Humility,,22000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Immupower,,22250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Inner Child,,24500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Inspiration,,17625000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Into the Future,,22000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Joy,,23500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Juniper,,24500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Juva Flex,,20500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Lavender,,14750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Lemon,,19000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Live With Passion,,22250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - M-Grain,,18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Magnify Your Purpose,,24750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Melissa,,12750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
Essential Oil - Melrose,,24000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST,
