Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Abbreviations
Schnitzler Syndrome,,130,230,750,850,5690,117250,345750,587500,695270,875980,,,,,,,,,,,,,,,,,,,KHZ
Schuman B Cell,,322,425,428,561,600,620,623,780,781,950,952,1023,1524,,,,,,,,,,,,,,,,BIO
Schuman B Cell,,322,425,561,600,620,623,780,781,950,952,1023,1524,1097,1100,,,,,,,,,,,,,,,CAFL
Schuman B Cell,,322,425,561,600,620,623,780,781,950,952,1023,1524,,,,,,,,,,,,,,,,,VEGA
Schumann Resonance,,7.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Schumann,,7.83,14.3,20.8,27.3,33.8,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Sciatica 1,Back,254,464,465,866,15,25.4,,,,,,,,,,,,,,,,,,,,,,,CAFL
Sciatica,,190,500,700,970,14630,42500,67500,196500,452930,777500,,,,,,,,,,,,,,,,,,,KHZ
Sciaticor Schias,,1550,802,880,787,727,690,666,10,,,,,,,,,,,,,,,,,,,,,CAFL
Scimitar Syndrome,,80,350,5150,55750,85270,92500,355720,477500,527000,661710,,,,,,,,,,,,,,,,,,,KHZ
Scleritis,,80,350,5190,55000,72500,92500,322060,475270,827000,967000,,,,,,,,,,,,,,,,,,,KHZ
Scleroderma Systemic,,20,320,620,950,124370,325190,175000,479500,527000,667000,,,,,,,,,,,,,,,,,,,KHZ
Scleroderma V,,4334,42046,44178,49847,55687,67868,75969,35237,54778,44837,39703,31888,34112,36769,42938,38882,48686,30121,64734,44679,70542,48450,,,,,,,CAFL
Sclerosis Lateral,Nerve,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Scoliosis,,50,240,600,5250,62500,90000,219340,422530,561930,987230,,,,,,,,,,,,,,,,,,,KHZ
Scotoma,,70,730,2500,5810,50000,175270,434250,566410,847960,930120,,,,,,,,,,,,,,,,,,,KHZ
Scrub Typhus,,20,320,620,970,12690,112500,265750,425710,745190,935700,,,,,,,,,,,,,,,,,,,KHZ
Seasonal Affective Disorder,,130,220,55000,73300,92500,132410,233910,475270,527000,667000,,,,,,,,,,,,,,,,,,,KHZ
Secrets,,211.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Security,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Sedation and Pain Relief,,304,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Sedation and Pain Relief,,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Sedative Effect,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Seizures,Nerve,226,329,953,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Seizures,,460,950,67500,150000,275190,519340,682450,711210,859830,922530,,,,,,,,,,,,,,,,,,,KHZ
Selenium 34,,406.41,438.12,18644.52,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Selenium,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Self Respect,,5,78,621,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Self-assembly of Body,,9,187,948,181,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Self-healing 1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Seminal Vesiculitis,,393,433,2712,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Semperillium,,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Sensuality,,221.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Separation,,147.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Sepsis,,70,220,32500,93500,175750,479930,527000,667000,721000,986220,,,,,,,,,,,,,,,,,,,KHZ
Septo-Optic Dysplasia,,220,970,7500,85190,96500,95750,175000,524370,655200,995200,,,,,,,,,,,,,,,,,,,KHZ
Serotonin Syndrome,,70,780,1300,21900,65190,322060,479930,527000,667000,742000,,,,,,,,,,,,,,,,,,,KHZ
Serotonin,,2.5,10,80,160,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Serotonin,,2.5,10,22027,80,160,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Serratia Marcescens 1,,866.2,970.03,872.76,11003.12,21840.63,21937.5,,,,,,,,,,,,,,,,,,,,,,,XTRA
Serum Schweinepest,,503,246,604,465,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Serum Schweinepest,,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Sever's Disease/Calceneal Apophysitis,,10,410,730,900,65170,234250,300000,479500,527000,838900,,,,,,,,,,,,,,,,,,,KHZ
Sever's Disease/Calceneal Apophysitis,,40,410,730,900,65170,234250,300000,479500,527000,838900,,,,,,,,,,,,,,,,,,,XTRA
Severe Acute Respiratory Syndrome,,60,520,15170,42500,125710,376290,514350,682450,759830,918500,,,,,,,,,,,,,,,,,,,KHZ
Severe Combined Immunodeficiency,,70,240,35190,150000,375000,477500,527000,662710,749000,969670,,,,,,,,,,,,,,,,,,,KHZ
Sex Polarity Balance,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Sexual Diseases,,20,625,660,727,800,880,1500,1850,,,,,,,,,,,,,,,,,,,,,CAFL
Sexual Disorders General Set,,120,560,34210,53770,291240,381610,502360,581260,638190,708920,,,,,,,,,,,,,,,,,,,XTRA
Sexual Dysfunction Men,,9.39,20,72,73.95,124,465,600,625,650,666,690,727,787,802,880,2008,2112,2127,,,,,,,,,,,CAFL
Sexual Weakness,,20,727,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Sexuality,,9,221.23,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Sexually Transmitted Diseases Bacterial,,10,410,17500,65190,222530,315500,477500,527000,667000,752700,,,,,,,,,,,,,,,,,,,KHZ
Sexually Transmitted Diseases Bacterial,,40,410,17500,65190,222530,315500,477500,527000,667000,752700,,,,,,,,,,,,,,,,,,,XTRA
Sezary Syndrome,,180,300,2330,17500,45750,375170,475000,527000,662710,723010,,,,,,,,,,,,,,,,,,,KHZ
Shame and Guilt,,126.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Shigella Dysenteriae Intestinal Problems,,390090,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Shigella Dysenteriae,,390089,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Shigella Flexneri,,394000,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Shigella Infections General,,3000,73300,95750,175000,269710,318000,390090,394000,426220,512810,,,,,,,,,,,,,,,,,,,XTRA
Shigella Sonnei,,318000,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Shigella,,621,762,769,770,1550,802,832,,,,,,,,,,,,,,,,,,,,,,CAFL
Shingles,Viral,664,787,802,880,914,1500,1600,2170,3343,,,,,,,,,,,,,,,,,,,,CAFL
Shock Hemorrhagic,,170,350,55750,60000,115700,250000,524370,655200,754190,919340,,,,,,,,,,,,,,,,,,,KHZ
Shock Septic,,180,220,55000,62500,132410,210500,475170,527000,667000,749000,,,,,,,,,,,,,,,,,,,KHZ
Shock,,170,320,950,115500,210500,475190,527000,667000,742000,985670,,,,,,,,,,,,,,,,,,,KHZ
Short Bowel Syndrome,,180,300,45750,72500,92500,375190,477500,527000,662710,727050,,,,,,,,,,,,,,,,,,,KHZ
Shoulder Injuries,,120,5500,32500,125710,229320,479500,527000,667000,789000,918200,,,,,,,,,,,,,,,,,,,KHZ
Shoulders,,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Shy-Drager Syndrome,,70,8000,13980,42500,97500,325170,515700,650000,750000,927100,,,,,,,,,,,,,,,,,,,KHZ
Sialorrhea,,240,900,9000,13520,85000,92500,250000,376290,425750,845100,,,,,,,,,,,,,,,,,,,KHZ
Sick Building Syndrome,,20,770,2500,3000,92500,357300,425170,571000,845000,937410,,,,,,,,,,,,,,,,,,,KHZ
Signal Test,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Silicon si,,422.87,455.86,19399.4,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Silicosis,,90,7250,45750,72500,150000,325190,477500,527000,667000,761200,,,,,,,,,,,,,,,,,,,KHZ
Silver 2,,21650,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Silver 107ag,,86.12,92.84,15804.69,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Silver 109ag,,99.03,106.75,18171.88,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Silver,,15903,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Simian Virus 40,,79333.9,83173.3,95443,93806.5,132112,134443,138591.3,140781,141346,148107,335175,355436,385643,,,,,,,,,,,,,,,,XTRA
Sinus Bacteria,Respiratory,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROV
Sinus Congestion,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Sinusitis 1,,728,784,880,20,72,120,146,400,440,464,524,548,660,712,732,802,1500,1552,1600,1862,683,,,,,,,,CAFL
Sinusitis 2,,125,160,367,472,600,615,625,650,820,952,1150,1520,1865,2000,4392,4400,4412,,,,,,,,,,,,CAFL
Sinusitis 3,,60,95,128,225,414,427,432,456,610,614,618,1234,2600,5500,304,,,,,,,,,,,,,,CAFL
Sinusitis 4,,107,160,952,942,320,741,682,1395,,,,,,,,,,,,,,,,,,,,,CAFL
Sinusitis Frontalis,,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Sinusitis Frontalis,,952,320,682,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Sinusitis Maxillaris,,160,741,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Sinusitis Maxillariss,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Sinusitis,,952,741,682,320,160,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Sinusitis,,110,400,830,5500,25000,125170,225750,475190,527000,662710,,,,,,,,,,,,,,,,,,,KHZ
Sinusitis,,72,120,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Situations Undo,,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Situs Inversus,,50,120,870,5000,27500,62500,193000,322530,475170,527000,,,,,,,,,,,,,,,,,,,KHZ
Sjogren's Syndrome,,130,400,57500,92500,175190,479930,527000,667000,742000,988900,,,,,,,,,,,,,,,,,,,KHZ
Skin Collagen Building,,190,370,7250,45750,120500,424000,467000,493100,750000,922530,,,,,,,,,,,,,,,,,,,XTRA
Skin Diseases,,190,370,7250,45750,96500,325000,519340,655200,750000,922530,,,,,,,,,,,,,,,,,,,KHZ
Skin Scar Tissue Healing,,190,370,7250,45750,120500,401000,409310,552200,750000,922530,,,,,,,,,,,,,,,,,,,XTRA
Skin Ulcer,,50,950,7500,8000,40000,57500,125750,325170,522530,655200,,,,,,,,,,,,,,,,,,,KHZ
Sleep Apnea Central,,70,370,12710,47500,97500,225750,377910,519340,691270,753070,,,,,,,,,,,,,,,,,,,KHZ
Sleep Disorders,,130,400,620,42500,57500,92500,175000,475170,527000,667000,,,,,,,,,,,,,,,,,,,KHZ
Sleep Induce Deeper,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Sleep Restorative,,1-mrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Sleep Sound,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Sleep to Induce,,1 W1,3 W1,3-1=300 W1,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Sleeping Sickness,,120,20,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Slipped Discs,,125,880,787,727,95,72,20,,,,,,,,,,,,,,,,,,,,,,CAFL
Slow Virus Diseases,,190,370,750,45190,65000,96500,225750,514350,652430,759830,,,,,,,,,,,,,,,,,,,KHZ
Small Intestines,,281.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Smallpox Secondary,,334,360,471,647,506,711,880,787,727,20,,,,,,,,,,,,,,,,,,,CAFL
Smallpox,,142,476,511,876,1644,2132,2544,,,,,,,,,,,,,,,,,,,,,,BIO
Smallpox,,3222,2544,2132,1644,1550,876,832,802,569,542,511,476,142,,,,,,,,,,,,,,,,CAFL
Smallpox,,80,350,5500,35170,62500,93500,225000,496010,682450,753070,,,,,,,,,,,,,,,,,,,KHZ
Smegma,,153,180,638,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Smegma,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Smell Sense Loss Of,,20,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Smell Sense Too Sensitive,,727,787,800,880,10000,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Smith-Lemli-Opitz Syndrome,,80,350,5500,35190,72500,93500,342060,524370,655200,754190,,,,,,,,,,,,,,,,,,,KHZ
Smith-Magenis Syndrome,,950,2250,32500,67500,97500,322060,375170,497610,653690,750000,,,,,,,,,,,,,,,,,,,KHZ
Sneddon Syndrome,,40,350,700,60000,150000,322530,479500,527000,662710,749000,,,,,,,,,,,,,,,,,,,KHZ
Sneezing,,880,787,727,465,146,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Social Self,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Sodium Chloride,,29.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Sodium na,,563.05,606.99,12915.53,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Solfeggio Frequencies,,396,417,528,639,741,852,,,,,,,,,,,,,,,,,,,,,,,XTRA
Solitary Cyst,,75,543,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Solitary Cyst,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Somatoform Disorders,,70,570,23100,50000,375190,477500,527000,667000,753230,986220,,,,,,,,,,,,,,,,,,,KHZ
Sore Throat,,2720,2489,1800,1600,1550,802,885,880,875,787,776,727,46.5,766,,,,,,,,,,,,,,,CAFL
Sore Throat,,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Sorghum Smut,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Sorghum Syrup,,277000,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Sorrow,,147.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Soul/Anima,,420.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Spanish Flu,,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Spasm,,60,320,600,32500,67500,97500,325750,519340,691270,754190,,,,,,,,,,,,,,,,,,,KHZ
Spasms Muscle,Muscle,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Spastic Paresis,,30.87,48,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Speech Center,,141.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Speech,,8.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Spermatic Cord Torsion,,70,460,830,2500,150000,225750,475160,667000,742000,985670,,,,,,,,,,,,,,,,,,,KHZ
Sphaerotilus Natans,,388400-393450=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Spherocytosis Hereditary,,190,300,870,137940,322530,477500,527000,667000,749000,988900,,,,,,,,,,,,,,,,,,,KHZ
Spina Bifida Occulta,,180,7500,25170,52500,112330,175000,524370,682450,753070,927100,,,,,,,,,,,,,,,,,,,KHZ
Spinal Cord Diseases,,180,320,950,7500,25750,52500,425160,571000,841000,932000,,,,,,,,,,,,,,,,,,,KHZ
Spinal Dysraphism,,320,800,7500,25160,52500,255930,522530,691270,753070,912330,,,,,,,,,,,,,,,,,,,KHZ
Spinal Meningitis,,427000,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rife
Spinal Muscular Atrophies of Childhood,,180,320,25000,52500,134250,175750,426900,571000,843000,937410,,,,,,,,,,,,,,,,,,,KHZ
Spinal Osteophytosis,,100,320,52500,112330,175170,475000,527000,662710,742000,986220,,,,,,,,,,,,,,,,,,,KHZ
Spinal Stenosis,,140,320,970,7500,125710,175750,512330,682020,759830,927100,,,,,,,,,,,,,,,,,,,KHZ
Spine Problems A=432,,128.43,144.16,161.82,171.44,192.43,216,242.45,136.07,152.74,181.63,203.88,228.84,,,,,,,,,,,,,,,,,CUST
Spine Problems A=440,,130.81,146.83,164.81,174.61,196,220.2,246.94,138.57,155.56,185,207.65,233.08,,,,,,,,,,,,,,,,,CUST
Spirillum Serpens,,378350-382800=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Spiritual Love,,211.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Spiritual Order Return To,,852,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Spiritual Well-being Stimulate Balance,,1565,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Spiritual Wisdom,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Spirituality,,183.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Spleen 1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Spleen 2,,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Spleen Enlarged 1,,20,27.44,35,465,660,690,727.5,787,802,880,1550,1800,2170,2720,3176,10000,,,,,,,,,,,,,XTRA
Spleen Enlarged,Spleen,35,787,3176,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Spleen Secondary,Spleen,10000,2720,2170,1800,1550,880,802,727,465,20,,,,,,,,,,,,,,,,,,,CAFL
Spleen,,4.6,147,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Splenic Diseases,,40,350,7250,2500,60000,125000,300000,475170,527000,752700,,,,,,,,,,,,,,,,,,,KHZ
Splenic Rupture,,30,570,50000,205830,358570,475160,527000,667000,749000,985670,,,,,,,,,,,,,,,,,,,KHZ
Spondylitis Ankylosing,,190,180,8000,55750,322060,477500,527000,662710,742000,988900,,,,,,,,,,,,,,,,,,,KHZ
Spondylitis,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Spondylolisthesis,,460,680,32710,96500,319340,428170,512330,682450,753070,922530,,,,,,,,,,,,,,,,,,,KHZ
Spontaneity,,207.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Spooky Converge Sweep,,1595645.833-1662479.167=15080 W1 G0 A20 O0,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Spooky Spectrum Sweep,,1595645.833-1662479.167=15080 W1 G0 A20 O0,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Sporobolomyces,,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Sporotrichum Pruinosum,,584,598,687,755,715,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Sporotrichum Pruinosum,,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Sprengel's Deformity,,140,300,950,178720,375170,477500,527000,667000,761850,988900,,,,,,,,,,,,,,,,,,,KHZ
Squamous Cell Carcinoma,,666,760,2008,2116=1800,2125,2128,2131,2140,2145,2280=480,3672,6130,6601,6672,,,,,,,,,,,,,,,XTRA
Stability,,6.88,194.71,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Stachybotrys Chartarum,,540.1,577.9,604.39,747.39,764.5,765,844,922.2,952.39,969.6,,,,,,,,,,,,,,,,,,,CUST
Stammering,,10000,20,6000,7.83,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Staph Infections,,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Staphylococcal Infections,,50,410,800,5250,87500,42500,112330,375160,753230,988900,,,,,,,,,,,,,,,,,,,KHZ
Staphylococcal Infections,,50,410,800,5250,87500,42500,376270,378000,380850,381000,,,,,,,,,,,,,,,,,,,XTRA
Staphylococci and Streptococcus V,,128,134,333,411,423,436,453,542,563,576,643,686,718,727,786,934,958,985,1010,1050,1060,1109,1902,2431,7160,9646,40887,,CAFL
Staphylococci Infection 1,,20,643,727,943,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Staphylococci Infection,,424,453,550,639,643,674,678,727,786,943,960,1050,1089,1109,2600,7160,8697,,,,,,,,,,,,CAFL
Staphylococcus Aureus 1,,424,478,555,644,647,727,728,738,745,784,786,787,824,943,999,1050,7270,8697,,,,,,,,,,,XTRA
Staphylococcus Aureus 2,,936.97,944.39,18819.5,18968.86,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Staphylococcus Aureus 3,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Staphylococcus Aureus Basal Cell Special,,727,943,8697,424,786,670,2280,2116,1744,,,,,,,,,,,,,,,,,,,,ODD
Staphylococcus Aureus CA/HA Octal,,9504799449697,4752399724849,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Staphylococcus Aureus CA/HA Scalar,,9714538431825,483658389067,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Staphylococcus Aureus CA/HA Wavelength,,L470,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Staphylococcus Aureus Culture,,932.67,936.97,944.02,11758.44,11812.5,11901.55,,,,,,,,,,,,,,,,,,,,,,,XTRA
Staphylococcus Aureus Slide,,944.39,11906.25,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Staphylococcus Aureus,,8697,1050,943,824.4,786,745,738,727,647,644,424,,,,,,,,,,,,,,,,,,CAFL
Staphylococcus Aureus,,376270-380850=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Staphylococcus Aureus,,727,943,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Staphylococcus Coagulae Positive,,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Staphylococcus Coagulae Positive,,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Staphylococcus General 1,,48,146,160,300.2,424,727,736,738.3,740.7,742.2,786,943,,,,,,,,,,,,,,,,,CAFL
Staphylococcus Haemolyticus,,388.2,1036.4,31092,4397.1,6218.5,12437,,,,,,,,,,,,,,,,,,,,,,,CAFL
Staphylococcus Pyogenes Albus,,549070,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rife
Staphylococcus Pyogenes Aureus 1,,333,424,523,644,647,660,690,727.5,738,744,745,768,786,932.67,936.97,943,944.02,944.39,1050,5906.25,8697,11758.44,11812.5,11901.55,11906.25,14937.5,18819.5,18968.86,XTRA
Staphylococcus Pyogenes Aureus 2,,540,728,7270,14937.5,15605.3,17349.09,,,,,,,,,,,,,,,,,,,,,,,XTRA
Staphylococcus Pyogenes Aureus 3,,14937.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Staphylococcus Pyogenes Aureus,,478000,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rife
Staphylococcus Virus,,563,611,727,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Stemonius,,211000,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Stemphylium,,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Stemphylium,,461,340,114,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Stemphylium,,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Stephanurus Dentalus (Ova),,467350-463100=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Sterigmatocystin_1,,88000,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Sterigmatocystin_2,,96000,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Sterigmatocystin_3,,126000,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Sterigmatocystin_4,,133000,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Stevens-Johnson Syndrome,,190,7500,8000,55750,225000,477500,527000,662710,742000,985670,,,,,,,,,,,,,,,,,,,KHZ
Stickler Syndrome,,460,2500,30000,57500,95170,325710,524370,691270,753070,927100,,,,,,,,,,,,,,,,,,,KHZ
Stiff Muscles Secondary,,0.05,1,1.2,1.5,2.5,5.9,10,250,776,787,802,880,1550,,,,,,,,,,,,,,,,CAFL
Stiff Muscles,,320,328,304,300,240,160,776,728,1800,125,80,40,20,6000,,,,,,,,,,,,,,,CAFL
Stiff Neck,,4.9,6,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Stiff Shoulder,,10000,727,766,20,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Stiff-Person Syndrome,,140,950,5750,12710,45000,125170,250000,479930,749000,986220,,,,,,,,,,,,,,,,,,,KHZ
Stigeoclonium_1,,404250-415250=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Stigeoclonium_2,,407000,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Stimulate Ligaments Healing,,9.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Stimulate Muscle Healing,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Stimulate Repair Nerve Damage,,2,578,657,764,5000,10000,,,,,,,,,,,,,,,,,,,,,,,XTRA
Stimulate,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Stomach Disorders,,2127,2008,880,784,727,690,676,664,125,95,72,20,3.9,450,802,1552,832,422,,,,,,,,,,,CAFL
Stomach,,5.14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Stomatitis Aphthous 1,Mouth,1901,1902,1903,1904,1905,1906,1907,,,,,,,,,,,,,,,,,,,,,,CAFL
Stomatitis Aphthous V,Mouth,888,880,848,846,831,685,742,734,1043,944,782,591,480,423,343,339,322,832,556,808,534,460,424,246,,,,,CAFL
Stomatitis Aphthous,Mouth,478,487,498,788,955,982,,,,,,,,,,,,,,,,,,,,,,,CAFL
Stomatitis Aphthous,,50,410,800,5170,42500,119340,357300,527000,662710,789000,,,,,,,,,,,,,,,,,,,KHZ
Stomatitis,Mouth,465,677,702,787,234,278,568,672,,,,,,,,,,,,,,,,,,,,,CAFL
Stomatognathic Diseases,,170,370,900,2750,5120,52500,90000,234250,842000,937410,,,,,,,,,,,,,,,,,,,KHZ
Strabismus,,170,570,37500,87500,90000,452590,519680,684810,712230,997870,,,,,,,,,,,,,,,,,,,KHZ
Strength,,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Streptococcal Infections,,150,700,2500,5250,47500,70000,275000,425750,842000,932000,,,,,,,,,,,,,,,,,,,KHZ
Streptococcal Infections,,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Streptococcal Infections,,150,700,2500,5250,47500,70000,369750,385400,842000,932000,,,,,,,,,,,,,,,,,,,XTRA
Streptococcus and Staphylococci V,,128,134,333,411,423,436,453,542,563,576,643,686,718,727,786,935,958,1010,1050,1060,1109,1902,2431,7160,9647,40887,,,CAFL
Streptococcus Enterococcinum,Indigestion,686,409,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Streptococcus Haemolytic,,128,134,318,334,368,443,535,542,675,691,710,712,728,786,880,1203,1415,1522,1902,,,,,,,,,,CAFL
Streptococcus Haemolytic,,535,1522,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Streptococcus Infection General,,2000,1266,885,884,883,882,881,880,879,878,877,876,875,848,802,800,787,784,727,,,,,,,,,,CAFL
