Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Frequency 32,Frequency 33,Frequency 34,Frequency 35,Frequency 36,Frequency 37,Frequency 38,Frequency 39,Frequency 40,Abbreviations
Croup,,20,72,95,278,290,333,444,523,580,666,683,688,712,728,766,776,786,870,880,960,1165,1234,1550,3672,3702,7344,10000,,,,,,,,,,,,,,XTRA
Croup,,40,490,820,9800,67500,215500,332500,441120,625290,810500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cryoglobulinemia,,150,240,650,970,12710,27300,212500,435290,695750,875950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cryptococcosis,,970,1120,17750,51200,131020,217500,517500,653000,772290,956030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cryptococcus Neoformans,Lung,367,428,444,476,478,522,579,594,785,792,872,2121,5880,5884,597,613,624,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cryptocotyle Lingua (Adult),,409950-416000=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Cryptocotyle Lingua (Adult),,1016.15,1026.2,1031.16,12810.94,12937.5,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cryptogenic Infantile Spasms,,6000,320,600,32500,67500,97500,325750,519340,691270,754190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cryptogenic Organizing Pneumonia,,30,250,10530,7500,95150,312330,455820,517500,688290,843500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cryptorchidism,,70,570,850,10890,2500,25290,152500,324370,455720,879930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cryptosporidiosis,,110,840,1710,12810,82500,112500,235950,657500,802500,925290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cryptosporidium Parvum,,432,482,660,690,727.5,753,4122,5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cryptosporidium,Intestines,220,482,575,4122,698,711,893,895,1276,5690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cryptosporidium,,482,4122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Cubital Tunnel Syndrome,,120,550,850,2500,22500,147500,472500,725000,851030,975290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cunninghamella,,311,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Currarino Syndrome,,70,370,850,2500,3000,62500,95750,375290,633910,875000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Curva Spic,,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cushing Syndrome,,250,780,930,10530,7500,95950,322530,419340,564280,642060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cutis Laxa,,10,370,850,2750,3000,65750,95290,475000,650000,825750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cutis Laxa,,40,370,850,2750,3000,65750,95290,475000,650000,825750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cuts,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cyanosis,,200,250,780,2500,12850,117500,295290,432410,751170,917500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cyclospora,Intestines,543,316,992,751,268,2144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cyclospora,,268,316,543,751,992,2144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cyclosporiasis,,30,240,700,7500,12330,325500,440000,672500,797500,925950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cyclothymic Disorder,,150,230,600,950,7500,18300,155030,517500,696500,893000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cyst Hydatid,Intestines,164,187,453,523,542,623,803,843,854,1223,3032,5522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cyst Other,,75,76,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cyst Ovarian,,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Cyst Sebaceous 1,,20,222,228,231,237,262,465,488,567,694,719,727,747,784,787,887,2154,2890,7880,10000,,,,,,,,,,,,,,,,,,,,,XTRA
Cyst Sebaceous 2,,75,76,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cystic Fibrosis 2,,333,478,523,557,660,690,727.5,768,775,776,778,786,787,802,880,1550,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cystic Fibrosis 3,,660,727,778,787,802,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cystic Fibrosis Pseudomonas Aeruginosa,,174,178,191,405,482,633,731,785,1132,3965,5311,6646,16579.09,20703.13=1800,20812.5,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cystic Fibrosis,Lungs Etc,523,557,478,776,660,727,778,787,802,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cystic Fibrosis,,100,500,680,830,190890,312500,452500,687500,795690,892500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cysticercosis,,80,350,750,17930,119000,217500,385950,620000,781330,903500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cysticercus Fasciolaris,,1081.73,1090.76,13637.5,13751.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cystinosis,,60,320,730,830,12330,20000,85000,150000,95310,122530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cystinuria,,230,850,10530,28210,17500,41900,62500,150000,326070,975310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cystitis Bladder,,20,465,727,787,800,880,1550,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cystitis Chronic,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Cystitis Chronic,Bladder,246,1550,880,802,787,727,465,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cystitis Interstitial,,40,460,800,2250,113950,232500,335690,587500,821000,975310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cystitis,,9.39,9.4,20,465,498,530,630,660,690,727.5,787,802,880,1550,2045,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cysto Pyelo Nephritis,,1385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Cysts Hydatid 1,,164,187,453,523,542,623,803,843,854,1223,1360,3032,5522=600,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cysts Hydatid 2,,164,453,542,623,5522=900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cysts Hydatid Secondary,,142,187,624,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cysts,,170,180,930,9500,157500,281020,342500,571080,725000,825310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cytochalasin B_1,,77000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Cytochalasin B_2,,91000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Cytochalasin,,190.86,225.56,3833.59,4530.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cytomegalovirus (CMV) Antigen,,403350-410750=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Cytomegalovirus CMV 1,,249=360D50,418=360,647=360,7998778777,799877.87,799877.88,799877.4-799878.4=1000,6777877878,677787.78,677787.79,677787.3-677788.3=1000,776655666,77665.56,77665.57,77665-77666=1000,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Cytomegalovirus CMV 1,,126,597,629,682,1013,1045,2145,8848,8856,11856,11881,12144,12146.5,12146.75,12191.25,12537,20362.9,20757,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cytomegalovirus CMV 2,,68D72,70,120,126,249=360,418=360,597,629,647=360,682,850,999.79,1045,2144,2145,2146,6380-6418=600,6689-6754=720,8848,8856,9500,11856,11881,12144,12146.5,12146.75,12191.25,12537,12604.69,20757,88000,141200,297500,409000=600,425950,675310,827000,20330-20451=2420,1012-1019=1750,3190-3209=1900,CUST
Cytomegalovirus CMV 3,,1013.8,20362.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cytomegalovirus CMV Antigen,,999.79,1013.8,1018.14,12604.69,12781.25,12835.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cytomegalovirus Infections,,70,120,850,9500,88000,141200,297500,425950,675310,827000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Cytomegalovirus,Salivary Glands,126,597,629,682,1045,8848,8856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Cytophaga Rubra 1,,1061.15,1065,85,1071.31,13378.12,134.5,13506.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cytophaga Rubra 2,,1065.85,21408.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Cytophaga Rubra,,428100-432200=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HCD
Dan's Mold,,222,333,421,822,1233,1351,1711,1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Dandruff Scales,,20,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dandy-Walker Syndrome,,100,570,800,7500,17500,52500,199300,445210,675620,821430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
De Lange Syndrome,,70,240,700,7500,13520,45530,137500,572500,715700,903500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Deafness 1,,9.18,9.19,65,660,690,727.5,760,787,802,880,1550,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Deafness 2,,20,727,787,802,880,1550,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Deafness from Otosclerosis,,9.18,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Deafness,Ear,10000,1550,880,802,787,727,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Decongest,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Deep Meditation,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Deer Tick 2,,271,289,671,737,738,773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Deer Tick,,271,289,671,737,738,773,7989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Deglutition Disorders,,70,220,620,2750,5500,40000,100000,522530,682450,754190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Dejerine-Sottas Disease,,40,410,620,970,7500,20000,87500,342060,635310,834450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dematium Nigrum,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Dematium Nigrum,,243,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Dematium Nigrum,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Dementia Lewy Body,,140,220,620,7500,2500,40000,87500,150000,375690,519340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dementia Vascular,,60,260,650,5710,7000,42500,92500,478500,527000,667000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Dementia,,60,260,650,5150,7000,42500,92500,475950,527000,661710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Dementias Transmissible,,90,230,1950,8850,44110,72410,125210,433500,541500,621610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Demodex Folliculorum Follicle Mite,,682000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Demodex Folliculorum Follicle Mite,,1690.5,21312.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Demyelinating Diseases,,70,120,750,930,12850,22500,57500,672500,803500,935310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Dengue Fever 1,,148,149,206,211,216,423,846,1194,1195,1196,1692,3383,3389,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dengue Fever 2,,30,160,330,500,727,740,787,880,1234,1550,1600,2627,4412,5000,5275,7344,10000,10551.5,,,,,,,,,,,,,,,,,,,,,,,XTRA 
Dengue,,160,550,1850,17500,82500,192500,352500,519340,750000,824370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Dental 1,,48,60,465,635,640,685,1036,1043,1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dental 2,,47,48,60,95,146,190,333,465,470.5,518,521,522,523,547,555,600,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dental Abscess,,190,428,444,450,465,500,660,690,727.5,760,787,802,880,1550,1865,2170,2720,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dental and Jawbone Infections 1,,190,500,727,728,787,880,2170,2720,7270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dental and Jawbone Infections 2,,15,326,465,727,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dental Foci 1,,47.5,95,190,465,600,646,650,666,727,776,787,802,832,880,1500,1550,1600,1800,2489,2720,3000,5170,,,,,,,,,,,,,,,,,,,XTRA
Dental Foci 2,,47.5,95,190,465,600,650,666,727,776,787,802,832,880,1500,1600,1800,2489,2720,3000,,,,,,,,,,,,,,,,,,,,,,XTRA
Dental Foci,Teeth,5170,3000,2720,2489,1800,1600,1550,1500,880,832,802,787,776,727,666,650,646,600,465,190,95,47.5,,,,,,,,,,,,,,,,,,,CAFL
Dental General,,728,784,635,640,1036,1043,1094,685,60,48,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Dental General,,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dental Infection 1,,5170,3000,2720,2489,1800,1600,1550,1500,1094,1043,1036,880,832,802,787,776,727,685,666,650,646,640,635,600,465,190,95,60,48,47.5,,,,,,,,,,,CAFL
Dental Infection 2,,20,254.2,464,620,664,727,728,774,776,784,787,799,800,880,1550,1552,1562,5000,10000,,,,,,,,,,,,,,,,,,,,,,CAFL
Dental Infection 3,,138,142,177,183,210,222,233,436,534,626,723,835,875,981,5227,7059,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dental Infection 4,,1560,1700,2489,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dental Infection and Earache 1,,518,521,547,622,635,640,646,646.3,650,666,680,685,727,750,760,768,775,776,787,800,802,900,930,960,,,,,,,,,,,,,,,,,CAFL
Dental Infection and Earache,,518,521,547,622.29,635,640,646,646.29,650,666,680,685,727,750,760,768,775,776,787,800,802,832,880,900,930,960,,,,,,,,,,,,,,,XTRA
Dental Infection Roots and Gums,,660,666,690,727,784,787,800,880,960,1560,1840,1998,2489,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dental Infection,,960,660,666,690,727,784,787,800,880,1560,1840,1998,2489,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Dental Infection,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dental Infections Virus,,138,142,177,183,210,222,233,436,534,626,723,835,875,981,5227,7057,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Dental Ulcers,,727,776,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Dental,,635,640,1036,1043,1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Dentigerous Cyst,,160,550,850,7500,20000,47500,95310,210500,475950,527000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Depression Anxiety Trembling Weakness,,3.5,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Depression Bipolar,,40,370,870,2250,2500,70000,95270,269710,175270,350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Depression Drugs Or Toxins,,1.1,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Depression Due to Outside Circumstances,,35,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Depression Easily Depressed,,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Depression General 2,,5000,9999,10000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Depression General 3,,73,787,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Depression General,,1.1,3.5,7.83,35,73,787,800,3176,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Depression Manic,,263,1,304,802,6000,6130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Depression Postpartum,,80,500,850,19030,5930,331050,447500,550000,625000,833910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Depression Shigella Flexneri 1,,976.62,12312.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Depression Shigella Flexneri 2,,976.62,19616.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Depressive Disorder,,140,220,620,7500,15500,41090,465690,597500,722700,875930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Dermatitis,,9.18,9.19,9.39,9.4,20,120415,660,664,690,707,727.5,770,787,802,916,1550,2127.5,2180,2720,5000,10000,,,,,,,,,,,,,,,,,,,,XTRA
Dermatitis Exfoliative,,30,410,1620,8950,109500,252930,387500,691020,822060,928330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Dermatitis Herpetiformis,,30,410,620,9350,27500,229310,487500,590000,725000,925310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Dermatitis,,30,410,620,950,7500,125310,387500,682100,822060,925930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Dermatomycoses,,20,750,2620,5950,8500,125690,262500,592500,758570,823440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Dermatomyositis,,20,750,2420,5350,8520,125690,262500,561500,728570,802440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Dermatophagoides Dust Mite,,707000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Dermatophagoides,,11046.87,1752.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dermatophytoses,,1752.48,11046.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Dermoid Cyst,,50,490,1520,9850,85250,405500,532500,637500,721620,852090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Detox 1 Toxins in the Intestines,,2.4,2.68,5.8,6.3,10,20,40,60,72,95,125,165,200,333,428,444,465,522,555,600,625,650,666,690,727,787,802,832,880,1250,1500,1865,,,,,,,,,CAFL
Detox 1,,24,89,164,522,3176,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox 2 Parasites in the Intestines,,9.6,15,26,35,48,60,95,125,160,200,230,410,440,465,588,760,776,1000,2000,2127,,,,,,,,,,,,,,,,,,,,,CAFL
Detox 3 Toxins in the Kidneys and Liver,,2.4,6.3,7.8,9.2,14,20,35,60,72,95,126,160,200,240,440,444,465,522,600,625,666,690,727,787,802,832,880,1500,1550,1865,2000,,,,,,,,,,PROV
Detox 4 Toxins Throughout the Body,,2.4,5.8,6.3,7.8,20,26,35,60,72,125,165,200,444,465,522,588,600,625,650,666,685,690,727,760,776,787,802,832,880,1250,1500,1550,1850,2127,,,,,,,CAFL
Detox Acrylamide,,21822.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Adrenal Gland,,20,10000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox All Purpose,,6.29,9.18,9.19,15=900,20.5,146,148,333,428,444,522,523,528,555,660,690,727.5,768,786,787,802,880,1550,1865,3176,10000,,,,,,,,,,,,,,,XTRA
Detox Aluminum,,15952.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox and Lymphs,,2.5,6.29,7.83,10,10.35,15.05,15.19,146,148,304,306,440,444,465,522,625,635,676,727,751,787,880,3040,3176,10000,,,,,,,,,,,,,,,,XTRA
Detox and Lymphs,,2.5,6,3,7.83,10.10,10.36,15.05,15.2,146,148,304,306,440,444,465,522,625,635,676,727,751,787,880,3040,3176,10000,,,,,,,,,,,,,,,CAFL
Detox Anesthesia 1,,146,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Anesthesia 2,,0.5,2.5,6.29,146,148,333,522,523,555,768,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Antiseptic Effect,,14,333,428,444,450,465,523,555,590,660,690,727.5,760,768,786,787,802,804,880,1360,1550,1770,1865,2000,2720,3176,5000,10000,,,,,,,,,,,,,XTRA
Detox Assist,,10000,3176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Detox Assist,,3176,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Autointoxication,,20,146,522,727,787,800,880,1550,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Barium,,19516.29,21822.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Chemical Sensitivity,,440,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Chemtrail 1,,664,7344,2842,1147,686.6,684.1,1113,779.9,829.3,679.2,865,969.9,1067,783.6,800.4,1045,1062,673.9,690.7,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Chemtrail 2,,16542.41,16939.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Chemtrail 3,,16542.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Depression Drug Toxin,,1.1,30.5,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox EMF,,99.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Detox Fluoride,,19169.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Green Dye Chemical,,563,2333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Headache Toxicity 1,,1.19,4.9,20,146,160,250,522,660,690,727.5,787,880,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Headache Toxicity 2,,4.9,20,146,522,727,787,880,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Heavy Metals 1,,528,945,1121,1183,1211,1343,1354,1425,2154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Heavy Metals 2,,63,146,148,152,250,304,306,440,444,465,522,625,635,676,727.5,751,787,880,1036,1505,3040,3176,10000,,,,,,,,,,,,,,,,,,XTRA
Detox Heavy Metals 3,,317,1902,4202.3,5333.69,9887,14164.1,15952.79,19007.15,19007.2,19169.38,19516.29,21822.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Heavy Metals 4,,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Lead,,4202.3,19007.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Liver Kidneys Lymph Intestine,,30,540,750,20,240,150,520,440,640,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Lymphs,,2.5,6.29,7.83,10,10.35,15.05,15.19,146,148,304,440,444,465,522,625,635,676,727,751,787,880,3175,3176,3177,10000,,,,,,,,,,,,,,,,XTRA
Detox Mental Disorders,,4.9,20,72,95,125,146,428,522,550,802,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Mercury 1,,14164.1,19007.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Mercury 2,,47,48,49,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Methotrexate,,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Nicotine,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Pesticide,,1,6,26,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Respiratory,,6.29,9.18,9.19,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox SSRI Benzo,,7676767.6666D50,7676767.66,7676767.67,7676767.2-7676768.2=1000,77767656666,7776765.66,7776765.67,7776765.2-7776766.2=1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Detox Tetanus,,363,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Toxic Proteins,,9887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Toxins Elimination 1,,0.5,146,522,800,1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Toxins Elimination 2,,0.5,2.5,6.29,9.18,9.19,20,146,148,333,428,444,522,523,555,660,690,727.5,768,786,787,802,880,1550,1865,10000,,,,,,,,,,,,,,,,XTRA
Detox Uremic Poison,,911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Detox Urticaria,,4.9,6.29,95,125,146,148,444,522,660,690,727.5,787,880,1800,1865,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Diabetes 1,,5000=900,2127,2080,2050,2013,2008,2003,2000,1850,880,803,800,787,727,660,484,465,440,35,20,6.8,,,,,,,,,,,,,,,,,,,,CAFL
Diabetes 2,,4200,2128,1865,1850,1550,787,465,444,125,95,72,48,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
