Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Frequency 32,Frequency 33,Frequency 34,Frequency 35,Frequency 36,Frequency 37,Frequency 38,Frequency 39,Frequency 40,Frequency 41,Frequency 42,Frequency 43,Frequency 44,Frequency 45,Frequency 46,Frequency 47,Frequency 48,Frequency 49,Abbreviations
Amnesia,Brain,70,2250,87500,92500,275000,432410,564280,640000,978050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Amniotic Band Syndrome,,70,180,5620,37500,100000,275160,525710,655200,750000,926700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Amoeba General,,310,333,532,732,769,827,1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Amoeba Hepar Abscess,Liver,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Amoeba Hepar Abscess,Liver,344,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Amoeba Hepar Abscess,Liver,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Amoeba,,310,333,532,732,827,1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Amoebiasis,,520,2500,40000,95000,376290,476500,527000,665340,752700,987230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Amoebic Dysentery,Intestines,148,166,308,393,631,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Amphibian Diseases,,70,10830,5810,57500,125050,376290,419340,560000,642910,930120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Amyloidosis,,60,10830,7500,322530,452590,519680,689410,712000,833210,995380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Amyotonia Congenita,,40,350,6790,52250,115780,234250,342120,472500,551220,657710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Amyotrophic Lateral Sclerosis,Nerve,254,484,610,644,690,790,864,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Amyotrophic Lateral Sclerosis,Nerve,20,2500,60000,95000,225330,479500,527000,667000,742000,985670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Amyotrophic Lateral Sclerosis,Nerve,254,484,610,692,980,644,660,690,727.5,790,864,986,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Anal Itching,Anus,10000,880,787,760,727,465,125,120,95,72,444,1865,20,773,826,827,835,4152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Analgesia,,40,570,10530,95050,210250,424370,563190,707260,985900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Analgesic Pain Relief,,90=1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Analgesic,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Anankastic Personality Disorder,,190,750,1420,5250,25510,42570,162210,492830,671510,808530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Anaphylaxis,Skin,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Anaphylaxis,,140,750,2500,65000,87300,236420,400000,561930,714820,978050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Anaplasma Lyme,,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Anaplasma Marginale 1,,957.78,959.27,961.75,12075,12093.75,12125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Anaplasma Marginale 2,,959.27,1046.02,19267.59,21010.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Anaplasma Marginale 2nd,,415300-424000=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Anaplasma Marginale 3,,1029.43,1046.02,1050.99,12978.12,13187.5,13250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Anaplasma Marginale,,386400-388000=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Anaplasmosis,,100,240,800,15200,32500,97500,322060,377910,492500,723000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Ancylostoma Braziliense,,397600-403250=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Ancylostoma Braziliense,,985.54,993.98,999.55,12425,12531.25,12601.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Ancylostoma Caninum 1,,949.61,991.5,998.69,11971.87,12500,12590.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Ancylostoma Caninum 2,,949.61,974.14,998.69,11971.87,12281.25,12590.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Ancylostoma Caninum 3,,949.61,956.79,998.69,11971.87,12062.5,12590.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Ancylostoma Caninum_1,,383100-402900=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Ancylostoma Caninum_2,,393000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Ancylostoma Caninum_3,,383100-402900=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Androgen Insensitivity Syndrome,,60,7500,67500,95000,376290,475050,527000,665340,761850,987230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Anemia Aplastic,Blood,650,7500,2500,62500,150000,319340,425330,571000,823000,937410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Anemia Hemolytic,Blood,20,120,5160,62500,110250,332410,517500,684810,712230,992000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Anemia Iron-Deficiency,Blood,100,320,2500,57200,125000,175000,525710,682020,759830,932410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Anemia Megaloblastic,Blood,110,300,370,93500,224370,376290,475050,527000,657110,753230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Anemia,Blood,80,550,5970,23000,50500,80500,97530,210500,533210,909260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Anemia,Blood,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Anencephaly,Brain,110,490,1000,2250,30000,97500,325710,342060,750000,934250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Aneurysm,Veins,880,787,760,727,465,125,95,72,444,1865,20,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Aneurysm,,150,780,2500,67500,222530,458500,518920,688290,712810,997870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Angelman Syndrome,,200,7500,27500,95330,375160,419340,567700,642060,980000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Anger and Irritability,,3.6,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Angina Pectoris,Heart,3,230,2720,2170,1800,1600,1500,880,832,787,776,727,465,444,1865,125,95,72,20,660,7.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Angina Pectoris,Heart,100,680,830,42200,92500,225000,534200,779000,882100,911090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Angina Throat,Throat,333,428,465,660,727,776,787,804,806.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Angina,Heart,787,776,727,465,428,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Angioedema,Skin,120,520,800,5070,15000,90000,375050,410250,564280,824960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Angiofibroma,Skin,160,620,7500,65330,175000,434250,563190,642910,930120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Angiolymphoid Hyperplasia with Eosinophilia,Skin,100,1000,12330,5500,45000,234510,475160,527000,752700,987230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Angiomyxoma,,50,310,1590,5030,7290,125440,462520,625910,732500,815030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Anima/Soul,,420.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Animal Diseases,,50,570,870,2500,5810,92500,424370,561930,709830,985900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Aniridia,Eye,70,240,680,830,2500,157000,357300,451170,517500,687620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Anisakiasis,,40,230,780,5620,15050,35330,67500,125000,225000,733000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Anisocoria,,120,570,830,2500,5330,65000,93500,325160,515050,884810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Ankyloglossia,,80,780,5810,67500,350000,475000,527000,665340,742000,985670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Ankylosing Spondylitis,Spine,3000,95,1550,802,880,787,776,727,650,625,600,28,10,35,28,7.69,2.4,110,100,60,428,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Anomia,,520,800,7500,37500,175330,275000,379930,450000,519680,883000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Anophthalmos,Eye,120,970,5050,7000,40000,222700,425160,571000,824000,932000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Anosmia,Nose,20,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Anoxia,,80,850,2500,43000,97230,175000,388000,791000,853000,972100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Anthracinum,,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Anthrax,Skin Luns Intestines,500,633,1365,768,414,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Anthrax,Skin Lung Intestines,139200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rife
Anthrax,Skin Lung Intestines,70,680,930,5500,11090,119340,150000,175330,545000,705000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Anti-Glomerular Basement Membrane Disease,Lung Kidney,170,950,10530,2500,125090,375160,525710,650000,752630,923700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Antidepressive,,172.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Antimony 121sb,,509.39,549.13,11684.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Antimony 123sb,,275.86,297.37,12655.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Antiphospholipid Syndrome,,50,730,1550,13390,22500,247000,391000,571000,827000,937410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Antiseptic General,,428,444,450,465,660,727,760,787,802,880,1550,5000,10000=300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Antithrombin III Deficiency,,50,650,1000,5620,7000,377910,400000,563190,642060,985900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Anus Diseases,Anus,50,600,2250,7500,97500,475000,527000,667000,752700,986220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Anxiety 1,,1.5,6.8=300,7.8=300,95,10000=300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Anxiety Disorders,,80,620,870,5810,225000,423070,572000,727330,841120,903910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Anxiety,,40-60=1800,304,6130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Aortic Valve Stenosis,Heart,30,250,900,13520,150000,275330,510250,655200,759830,926700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Aphasia,Brain,140,620,850,12850,5070,453720,515090,684810,712810,993410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Aphthovirus,,232,237,558.37,585.91,1116.75,1171.83,1214,1243,1244,1271,5411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Apnea,Sleep,60,830,970,5160,20000,65000,476500,527000,742000,987230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Apoplexy,,20,40,72,333,428,522,555.1,600,625,727,787,880,1800,1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Appendicitis,Appendix,1550,802,880,787,727,444,380,190,10,650,444,522,125,95,72,20,522,146,440,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Appendicitis,Appendix,140,460,7500,50000,93500,376290,524370,652430,752630,922530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Appetite Lack Of,,20,72,444,465,727,787,880,1865,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Apraxias,Brain,600,1000,5000,247880,365800,454370,515160,689410,712000,997870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Aprosodia,Brain,180,1070,4830,15250,58210,109420,237210,387020,434270,611050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Arachnoid Cysts,,160,600,900,2500,3000,125090,225330,344500,490000,56000,807220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Arachnoiditis,,160,600,850,2500,7500,35000,87500,479500,527000,665340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Araneae Thrush,,727,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Arbovirus Infections,,70,680,2330,35000,87500,476500,527000,667000,753230,987230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Aremes Tennus,,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Argentaffinoma,,50,520,600,930,12690,125000,269710,434030,571000,839000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Arm Injuries,,180,900,5500,13930,55160,250000,425090,571000,827000,932000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Arnica,,1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Arnold-Chiari Malformation,,60,830,2500,20000,65000,207460,479930,527000,749000,986220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Arrhythmia Cardiac,,900,780,830,7500,8000,225330,510250,689930,750000,936420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Arrhythmia Cardiac,,90,780,830,7500,8000,225330,510250,689930,750000,936420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Arrhythmogenic Right Ventricular Dysplasia,,50,400,850,2750,5000,55160,269710,555300,707000,825500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Arsenic Aib.,,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Arsenic Alb,,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Arsenic as,,364.56,393,16724.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Arsenic Poisoning,,100,830,5500,52500,342060,458500,515090,687620,712230,995380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Arteriosclerosis,Veins,10000,2720,2170,1800,1600,1500,880,787,776,727,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Arteriosclerosis,,70,730,5000,7250,92500,352930,451170,519680,684810,712810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Arteriovenous Malformations,,100,830,12330,5070,12710,225000,519340,655200,752630,923700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Artery Plaque,,4632,5364,5885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Artery Stimulator,,727,787,800,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Arthritis 1,,120=1200,962,727,787,880,1550,802,1664,80,60,40,30,25,26,20,10,5000,10000,7.69,3,1.2,28,1.5=600,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Arthritis 2,,1.19,1.5,3,7,6.9,7.7,9.39,9.4,10,20,25,26,28,30,40,60,80,100,120,230,250,512,660,690,728,770,787,802,880,1500,1550,1664,2720,3000,3176,5000,10000,,,,,,,,,,,,,XTRA
Arthritis Arthralgia Due to Gout,,9.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Arthritis Arthrosis and Parathyroid Disturbances Affecting Calcium Metabolism,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Arthritis General,,10000,5000,2720,1664,1550,962,880,802,800,787,776,766,727,688,683,650,625,600,120,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Arthritis Gout,,9.39,9.4,20,660,690,727.5,787,880,3000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Arthritis Juvenile Chronic,,60,780,7500,40000,398400,476500,527000,665340,761850,987230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Arthritis Juvenile Rheumatoid,,60,780,7500,40000,275090,476500,527000,665340,761850,987230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Arthritis Post-infectious,,60,650,800,5810,42500,398400,410000,571000,828000,937410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Arthritis Reactive,,60,650,800,5810,42500,275000,410000,571000,828000,937410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Arthritis Rheumatoid,,2.4,250,262,600,625,650,727,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Arthritis Rheumatoid,,190,1000,2800,17500,45000,225000,510250,682020,759830,932410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Arthritis Rheumatoid,,1.19,250,262,600,625,650,727,766,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Arthritis Rheumatoid,,190,1000,2800,17500,398400,225000,510250,682020,759830,932410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Arthritis Secondary,,2720,1000,1500,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Arthritis,,50,750,900,9000,11090,55330,325160,425710,642910,980000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Arthritis,,1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Arthritis,,50,750,900,9000,11090,55330,398400,425710,642910,980000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Arthrogryposis,,190,570,830,2250,5090,67500,96500,325160,424370,566410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Arthropathy Neurogenic,,110,5330,7000,15000,125000,350000,425000,571000,828000,932000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Arthropod Diseases,,60,850,7800,25000,52500,275090,426900,571000,829000,937410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Asbestos in Lungs,,5111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROV
Asbestosis,,40,970,7500,87500,175330,475160,527000,657110,742000,985670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Ascariasis,,60,1330,5270,10890,90000,379930,425000,571000,829000,932000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Ascaris Larvae,,404900-409150=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Ascaris Larvae,,1003.64,1011.33,1014.17,12653.12,12750,12785.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Ascaris Lumbricoides All Stages,,471910.2143=1200,55455.4555=120,7456.5499=240,4777.5565=360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Ascaris Megalocephala (Male),,403850-409700=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Ascaris Megalocephala All Stages,,128159.7732=300,1111211,8810.5764=360,22450.8855=300,34688.1655=300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Ascites 1,,70,416024920,37500,31907,37605,31000,39167,18667,34577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Ascites 2,,4337996875,4338003125,43380,4198996875,419003125,41990,1900996875,1901013125,19010,1894996875,1895003125,18950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Ascites,,70,520,6230,37500,355080,475090,527000,667000,789000,987230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Ascorbic Acid Deficiency,,50,730,2950,47500,222530,452590,517500,683000,712000,993410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Asian Grippe A,Lung,516,656,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Asperger Syndrome,,40,400,2500,10530,47500,210250,518920,688290,712230,916000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Aspergillosis,Lung,120,830,5000,7250,37500,357300,434250,563190,709830,978050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Aspergillus Flavus,Lung,1823,247,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Aspergillus Flavus,Lung,1823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Aspergillus Glaucus,,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Aspergillus Glaucus,Brain,524,758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Aspergillus Glaucus,Brain,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Aspergillus Niger,,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Aspergillus Terreus,Lung,743,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Aspergillus Terreus,Lung,743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Asphyxia,Lung,30,700,2500,5070,40000,72500,125000,275160,829000,937410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Asthma 1,Lung,1283,1233,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Asthma 1,Lung,0.5,20,72,95,125,146,444,522,727,787,880,1233,1283,1500,1600,1800,2170,2720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Asthma 2,Lung,1234,3672,7346,727,787,880,10000,47,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Asthma 3,Lung,0.5,20,72,95,125,146,444,522,660,690,727.5,787,810,880,1233,1234,1283,1500,1600,1800,1865,2170,2720,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Asthma 4,Lung,4.7,1233,1234,1283,3672,7344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Asthma 5,Lung,727,787,880,1500,1600,1800,2170,2720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Asthma Bronchial,Lung,8,943,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Asthma V,Lung,3125,3124,890,886,871,822,782,756,712,665,633,521,515,487,434,411,322,263,172,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Asthma,Lung,1233,1283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Asthma,Lung,7344,3702,3672,2720,2170,1800,1600,1500,1283,1234,1233,880,787,727,522,444,146,125,95,72,20,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
